Clause	TC Title	Release	Applicability		Additional Information			
6.2.4.6	Inter-RAT absolute priority based reselection in UTRA CELL_FACH (higher priority) to E-UTRA RRC_IDLE (lower priority) (All Layers, Srxlev,serv < Sprioritysearch1 , Srxlev,serv <Thresh serv,low and Srxlev,x > Threshx,low)	Rel-11	C01b	UEs supporting E-UTRA and UTRA FDD and support of all priority layer measurements and cell reselection procedure in CELL_FACH and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
					pc_eTDD			
6.2.4.7	Inter-RAT absolute priority based reselection in UTRA CELL_FACH (higher priority) to E-UTRA RRC_IDLE (lower priority) (All Layers, Srxlev,serv < Sprioritysearch1 , Squal,serv <Thresh serv,low2 and Squal,x > ThreshX,low2)	Rel-11	C01b	UEs supporting E-UTRA and UTRA FDD and support of all priority layer measurements and cell reselection procedure in CELL_FACH and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
					pc_eTDD			
6.3.1	Inter-frequency cell reselection / From E-UTRA RRC_IDLE non-CSG cell to E-UTRA RRC_IDLE CSG cell	Rel-8	C80	UEs supporting E-UTRA and allowed CSG list and manual CSG selection and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.3.2	Inter-RAT cell reselection / From GSM_Idle/GPRS Packet_Idle to E-UTRA idle CSG cell	Rel-8	C95	UEs supporting E-UTRA and GERAN and allowed CSG list and manual CSG selection and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.3.3	Inter-RAT cell reselection / From UTRA_Idle to E-UTRA RRC_IDLE CSG cell	Rel-8	C76	UEs supporting E-UTRA and UTRA and allowed CSG list and manual CSG selection and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
6.3.4	Inter-RAT cell reselection / From UTRA CELL_PCH state to E-UTRA RRC_IDLE CSG cell	Rel-8	C82	UEs supporting E-UTRA and UTRA and allowed CSG list and EUTRA Feature Group Indicator 1 and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
6.3.5	Manual support for CSG ID selection	Rel-8	C80	UEs supporting E-UTRA and allowed CSG list and manual CSG selection and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.3.6	Ignoring CSG cells in cell selection/reselection when allowed CSG list is empty or not supported	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.3.7	Inter-RAT Cell reselection from E-UTRA idle non-CSG cell to a UTRA CSG cell	Rel-8	C76	UEs supporting E-UTRA and UTRA and allowed CSG list and manual CSG selection and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
6.3.8	Void							
6.3.9	Manual CSG ID selection across PLMNs	Rel-9	C80	UEs supporting E-UTRA and allowed CSG list and manual CSG selection and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.3.10	Void							
6.3.11	Void							
6.3.12	Void							
6.4.1	Manual CSG ID selection / Hybrid cell whose CSG ID is not in the Allowed CSG list nor Operator’s list	Rel-9	C80	UEs supporting E-UTRA and allowed CSG list and manual CSG selection and NOT Category M1	pc_eFDD		Note 3	
					pc_eTDD			
6.4.2	Inter-frequency cell reselection / From E-UTRA RRC_IDLE non-CSG cell to E-UTRA RRC_IDLE member hybrid cell	Rel-9	C80	UEs supporting E-UTRA and allowed CSG list and manual CSG selection and NOT Category M1	pc_eFDD		Note 3	
					pc_eTDD			
6.4.3	Inter-RAT cell reselection / From E-UTRA RRC_IDLE non-CSG cell to UTRA_Idle member hybrid cell	Rel-9	C76	UEs supporting E-UTRA and UTRA and allowed CSG list and manual CSG selection and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
					pc_eTDD			Rel-9 UTRA TDD
6.4.4	Inter-RAT cell reselection / From E-UTRA RRC_IDLE non-member hybrid cell to UTRA_Idle member hybrid cell	Rel-9	C76	UEs supporting E-UTRA and UTRA and allowed CSG list and manual CSG selection and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
					pc_eTDD			Rel-9 UTRA TDD
6.4.5	Inter-RAT cell reselection / From UTRA_Idle to E-UTRA RRC_IDLE member hybrid cell	Rel-9	C76	UEs supporting E-UTRA and UTRA and allowed CSG list and manual CSG selection and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
					pc_eTDD			Rel-9 UTRA TDD
6.4.6	Inter-RAT cell reselection / From UTRA CELL_PCH to E-UTRA RRC_IDLE member hybrid cell	Rel-9	C76	UEs supporting E-UTRA and UTRA and allowed CSG list and manual CSG selection and NOT Category M1	pc_eFDD		Note 3	Rel-8 UTRA FDD
					pc_eTDD			Rel-9 UTRA TDD
6.4.7	Inter-RAT cell reselection / From GSM_Idle/GPRS Packet_Idle to E-UTRA RRC_IDLE member hybrid cell	Rel-9	C95	UEs supporting E-UTRA and GERAN and allowed CSG list and manual CSG selection and NOT Category M1	pc_eFDD		Note 3	
					pc_eTDD			
6.5.1	WLAN Offload / Cell Selection / EUTRA RRC_Idle to/from WLAN (Qrxlevmeas, BeaconRSSI, WLAN identifier no match/match)	Rel-12	C225	UEs supporting E-UTRA and WLAN and allowed offload to and from WLAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.5.2	WLAN Offload / Cell Selection / EUTRA RRC_Idle to/from WLAN (Qrxlevmeas, BackhaulRateDlWLAN)	Rel-12	C225	UEs supporting E-UTRA and WLAN and allowed offload to and from WLAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.5.3	WLAN Offload / Cell Selection / EUTRA RRC_Idle to/from WLAN (Qqualmeas, BackhaulRateUlWLAN)	Rel-12	C225	UEs supporting E-UTRA and WLAN and allowed offload to and from WLAN and NOT Category M1				
					pc_eTDD			
6.5.4	WLAN Offload / Cell Selection / EUTRA RRC_Idle to/from WLAN (Qqualmeas, ChannelUtilizationWLAN)	Rel-12	C225	UEs supporting E-UTRA and WLAN and allowed offload to and from WLAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.5.5	WLAN offload / Cell selection / EUTRA RRC_Idle to/from WLAN (ANDSF and RAN rules co-existence)	Rel-12	C225	UEs supporting E-UTRA and WLAN and allowed offload to and from WLAN and NOT Category M1	pc_eFDD			
					pc_eTDD			
6.5.6	Void							
7	LAYER 2							
7.1.1.1	CCCH mapped to UL SCH/ DL-SCH / Reserved logical channel ID	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.1.1a	CCCH mapped to UL SCH/ DL-SCH / UE Cat 0	Rel-12	C224	UEs supporting E-UTRA and UE Category 0	pc_eFDD			
					pc_eTDD			
7.1.1.2	DTCH or DCCH mapped to UL SCH/ DL-SCH / Reserved logical channel ID	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.2.1	Correct selection of RACH parameters / Random access preamble and PRACH resource explicitly signalled to the UE by RRC / Non-contention based random access procedure	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.2.1a	Correct selection of RACH parameters / Random access preamble and PRACH resource explicitly signalled to the UE by RRC / Non-contention based random access procedure for high speed scenario	Rel-14	C313	UEs supporting E-UTRA FDD or E-UTRA TDD and high speed enhancement for prach	pc_eFDD			
					pc_eTDD			
7.1.2.1b	Correct selection of RACH parameters / Preamble selected by MAC itself / Contention based random access procedure for high speed scenario	Rel-14	C313	UEs supporting E-UTRA FDD or E-UTRA TDD and high speed enhancement for prach	pc_eFDD			
					pc_eTDD			
7.1.2.2	Correct selection of RACH parameters / Random access preamble and PRACH resource explicitly signalled to the UE in PDCCH Order / Non-contention based random access procedure	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.2.3	Correct selection of RACH parameters / Preamble selected by MAC itself / Contention based random access procedure	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.2.3a	Correct selection of RACH parameters/ Preamble selected by MAC itself/ Contention based random access procedure/ Enhanced coverage	Rel-13	C254a	UEs supporting E-UTRA and CE Mode A	pc_eFDD			
					pc_eTDD			
7.1.2.4	Random access procedure / Successful 	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.2.5	Random access procedure / MAC PDU containing multiple RARs	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.2.6	Maintenance of uplink time alignment	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.2.7	MAC contention resolution / Temporary C-RNTI	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.2.8	MAC contention resolution / C-RNTI	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.2.9	MAC back off indicator	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.2.10.1	CA / Random access procedure / SCell / Intra-band Contiguous CA	Rel-11	C190	UEs supporting E-UTRA and Intra-band contiguous Uplink Carrier Aggregation and multiple timing advances	pc_eFDD			
					pc_eTDD			
7.1.2.10.2	CA / Random access procedure / SCell / Inter-band CA	Rel-11	C191	UEs supporting E-UTRA and Inter-band Uplink Carrier Aggregation and multiple timing advances	pc_eFDD			
					pc_eTDD			
7.1.2.10.3	CA / Random access procedure / SCell / Intra-band non-contiguous CA	Rel-11	C192	UEs supporting E-UTRA and Intra-band non-contiguous Uplink Carrier Aggregation and multiple timing advances	pc_eFDD			
					pc_eTDD			
7.1.2.11.1	CA / Maintenance of uplink time alignment / Multiple TA / Intra-band Contiguous CA	Rel-11	C190	UEs supporting E-UTRA and Intra-band contiguous Uplink Carrier Aggregation and multiple timing advances	pc_eFDD			
					pc_eTDD			
7.1.2.11.2	CA / Maintenance of uplink time alignment / Multiple TA / Inter-band CA	Rel-11	C191	UEs supporting E-UTRA and Inter-band Uplink Carrier Aggregation and multiple timing advances	pc_eFDD			
					pc_eTDD			
7.1.2.11.3	CA / Maintenance of uplink time alignment / Multiple TA / Intra-band non-contiguous CA	Rel-11	C192	UEs supporting E-UTRA and Intra-band non-contiguous Uplink Carrier Aggregation and multiple timing advances	pc_eFDD			
					pc_eTDD			
7.1.2.11.4	FDD-TDD CA / Maintenance of uplink time alignment / Multiple TA	Rel-12	C233	UEs supporting E-UTRA FDD and TDD and 3DL CA and 3UL CA with tdd-FDD-CA-PCellDuplex-r12 with the first and/or second bit set to "1 "and multiple timing advances				
7.1.3.1	Correct handling of DL assignment / Dynamic case 	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.3.2	Correct handling of DL assignment / Semi-persistent case	Rel-8	C100F	UEs supporting E-UTRA and semi-persistence scheduling and Feature Group Indicator 7	pc_eFDD			
			C100T		pc_eTDD			
7.1.3.3	MAC PDU header handling	Rel-8	C224a	UEs supporting E-UTRA and NOT (UE Category 0 or UE Category M1)	pc_eFDD			
					pc_eTDD			
7.1.3.3a	MAC PDU header handling / UE with limited TB size	Rel-12	C224b	UEs supporting E-UTRA and (UE Category 0 or UE Category M1)	pc_eFDD			
					pc_eTDD			
7.1.3.4	Correct HARQ process handling / DCCH and DTCH	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.3.4a	Correct HARQ process handling / DCCH and DTCH/ Enhanced Coverage / CE Mode A	Rel-13	C254a	UEs supporting E-UTRA and CE mode A	pc_eFDD			
					pc_eTDD			
7.1.3.5	Correct HARQ process handling / CCCH	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.3.5a	Correct HARQ process handling / CCCH/ Enhanced Coverage / CE Mode A	Rel-13	C254a	UEs supporting E-UTRA and CE Mode A	pc_eFDD			
					pc_eTDD			
7.1.3.6	Correct HARQ process handling / BCCH	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.3.7	MAC padding	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.3.9	MAC reset / DL	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.3.11.1	CA / Correct HARQ process handling / DCCH and DTCH / Pcell and Scell / Intra-band Contiguous CA	Rel-10	C132	UEs supporting E-UTRA and Intra-band contiguous Carrier Aggregation	pc_eFDD			
					pc_eTDD			
7.1.3.11.2	CA / Correct HARQ process handling / DCCH and DTCH / Pcell and Scell / Inter-band CA	Rel-10	C151	UEs supporting E-UTRA and Inter-band Carrier Aggregation	pc_eFDD		Note 11	
					pc_eTDD			
7.1.3.11.3	CA / Correct HARQ process handling / DCCH and DTCH / Pcell and Scell / Intra-band non-Contiguous CA	Rel-11	C132a	UEs supporting E-UTRA and Downlink Intra-band non-contiguous CA	pc_eFDD			
					pc_eTDD			
7.1.3.11.4	FDD-TDD CA / Correct HARQ process handling / DCCH and DTCH / FDD PCell and TDD SCell	Rel-12	C235a	UE supporting E-UTRA FDD and TDD and 2DL CA and 1UL CA and Support of tdd-FDD-CA-PCellDuplex-r12 with the second bit setting to "1"				
7.1.3.11.5	FDD-TDD CA / Correct HARQ process handling / DCCH and DTCH / TDD PCell and FDD SCell	Rel-12	C234a	UE supporting E-UTRA FDD and TDD and 2DL CA and 1UL CA and Support of tdd-FDD-CA-PCellDuplex-r12 with the first bit setting to "1"				
7.1.3.12	TDD additional special subframe configuration / Special subframe pattern 9 with Normal Cyclic Prefix / CRS based transmission scheme	Rel-11	C175	UEs supporting E-UTRA TDD and TDD special subframe config	pc_eTDD		Note 7	
7.1.3.12a	TDD additional special subframe configuration / Special subframe pattern 7 with Extended Cyclic Prefix / CRS based transmission scheme	Rel-11	C175	UEs supporting E-UTRA TDD and TDD special subframe config	pc_eTDD		Note 7	
7.1.3.13	TDD additional special subframe configuration / Special subframe pattern 9 with Normal Cyclic Prefix / UE-specific reference signals based transmission scheme	Rel-11	C175	UEs supporting E-UTRA TDD and TDD special subframe config	pc_eTDD		Note 7	
7.1.3.13a	TDD additional special subframe configuration / Special subframe pattern 7 with Extended Cyclic Prefix / UE-specific reference signals based transmission scheme	Rel-11	C175	UEs supporting E-UTRA TDD and TDD special subframe config	pc_eTDD		Note 7	
7.1.3.14	Correct handling of DL assignment / Dynamic case / EPDCCH	Rel-11	C188	UEs supporting E-UTRA and ePDCCH and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.3.15	Correct handling of DL assignment / Semi-persistent case / EPDCCH	Rel-11	C188	UEs supporting E-UTRA and ePDCCH and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.3.16	Correct handling of DL assignment / Dynamic case / eIMTA	Rel-12	C256	UEs supporting E-UTRA and eIMTA and NOT Category M1	pc_eTDD			
7.1.3.16a	CA / Correct handling of DL assignment / Dynamic case / eIMTA / Inter-band CA	Rel-12	C264	UEs supporting E-UTRA and Inter-band Carrier Aggregation and eIMTA	pc_eTDD			
7.1.4.1	Correct handling of UL assignment / Dynamic case	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.4.2	Correct handling of UL assignment / Semi-persistent case	Rel-8	C100F	UEs supporting E-UTRA and semi-persistence scheduling and Feature Group Indicator 7	pc_eFDD			
			C100T		pc_eTDD			
7.1.4.3	Logical channel prioritization handling	Rel-8	C19F	UEs supporting E-UTRA and Feature Group Indicator 6 and Feature Group Indicator 7 and NOT (UE Category 0 or UE Category 1 or UE Category M1)	pc_eFDD			
			C19T		pc_eTDD			
7.1.4.3a	Logical channel prioritization handling / UE with limited TB size	Rel-12	C19aF	UEs supporting E-UTRA and Feature Group Indicator 6 and Feature Group Indicator 7 and (UE Category 0 or UE Category 1 or UE Category M1)	pc_eFDD			
			C19aT		pc_eTDD			
7.1.4.4	Correct handling of MAC control information / Scheduling requests and PUCCH	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.4.5	Correct handling of MAC control information / Scheduling requests and random access procedure	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.4.6	Correct handling of MAC control information / Buffer status / UL data arrive in the UE Tx buffer and retransmission of BSR / Regular BSR	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.4.7	Correct handling of MAC control information / Buffer status / UL resources are allocated / Padding BSR	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.4.7a	Correct handling of MAC control information / Buffer status / UL resources are allocated / Cancellation of Padding BSR	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.4.8	Correct handling of MAC control information / Buffer status / Periodic BSR timer expires	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.4.10	MAC padding 	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.4.11	Correct HARQ process handling	Rel-8	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.4.12	MAC reset / UL	Rel-8	C16aF	UEs supporting E-UTRA and Feature Group Indicator 7 and NOT Category M1	pc_eFDD			
			C16aT		pc_eTDD			
7.1.4.12a 	MAC Partial reset / UL for Voice and Video Enhancement	Rel-14	C299	UE supporting PUSCH enhancement for MMTEL voice and video enhancements mode	pc_eFDD			
					pc_eTDD			
7.1.4.13	MAC PDU header handling	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.4.14	Correct HARQ process handling / TTI bundling	Rel-8	C99F	UEs supporting E-UTRA and TTI bundling and Feature Group Indicator 7 and NOT Category M1	pc_eFDD			
			C99T		pc_eTDD			
7.1.4.15	UE power headroom reporting / Periodic reporting	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.4.16	UE power headroom Reporting / DL pathloss change reporting	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.4.18	Correct handling of MAC control information / Buffer Status / UL data arrive in the UE Tx buffer / Extended buffer size	Rel-10	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.4.19.1	CA / UE power headroom reporting / SCell activation and DL pathloss change reporting / Extended PHR / Intra-band Contiguous CA	Rel-10	C133	UEs supporting E-UTRA and Intra-band contiguous Uplink Carrier Aggregation and FGI 113	pc_eFDD			
					pc_eTDD			
7.1.4.19.2	CA / UE power headroom reporting / SCell activation and DL pathloss change reporting / Extended PHR / Inter-band CA	Rel-11	C162	UEs supporting E-UTRA and Inter-band Uplink Carrier Aggregation	pc_eFDD			
					pc_eTDD			
7.1.4.19.3	CA / UE power headroom reporting / SCell activation and DL pathloss change reporting / Extended PHR / Intra-band non-Contiguous CA	Rel-11	C207	UEs supporting E-UTRA and Uplink Intra-band non-Contiguous CA	pc_eFDD			
					pc_eTDD			
7.1.4.20.1	CA / Correct handling of MAC control information / Buffer status / Intra-band Contiguous CA	Rel-10	C133	UEs supporting E-UTRA and Intra-band contiguous Uplink Carrier Aggregation and FGI 113	pc_eFDD			
					pc_eTDD			
7.1.4.20.2	CA / Correct handling of MAC control information / Buffer status / Inter-band CA	Rel-11	C162	UEs supporting E-UTRA and Inter-band Uplink Carrier Aggregation	pc_eFDD			
					pc_eTDD			
7.1.4.20.3	CA / Correct handling of MAC control information / Buffer status / Intra-band non-Contiguous CA	Rel-11	C207	UEs supporting E-UTRA and Uplink Intra-band non-Contiguous CA	pc_eFDD			
					pc_eTDD			
7.1.4.21	UE power headroom reporting / Extended PHR	Rel-10	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
7.1.4.22	Correct HARQ process handling / UL MIMO	Rel-10	C158	UE supporting E-UTRA and UL MIMO and NOT Category M1	pc_eFDD			
					pc_eTDD			
7.1.4.23	Correct HARQ process handling / TTI bundling with enhanced HARQ pattern	Rel-12	C227	UEs supporting E-UTRA FDD and TTI bundling and TTI bundling with enhanced HARQ pattern and Feature Group Indicator 7 and NOT Category M1	pc_eFDD			
7.1.4.24	Correct HARQ process handling / TTI bundling without resource allocation restriction	Rel-12	C228	UEs supporting E-UTRA and TTI bundling and NOT (UE Category 0 or Category M1)	pc_eFDD			
					pc_eTDD			
7.1.4.24a	Correct HARQ process handling / TTI bundling without resource allocation restriction / UE with limited TB size	Rel-12	C228a	UEs supporting E-UTRA and TTI bundling and UE Category 0	pc_eFDD			
					pc_eTDD			
7.1.4.24b	Correct HARQ process handling / Enhanced Coverage / CE Mode A	Rel-13	C254a	UEs supporting E-UTRA and CE mode A	pc_eFDD			
					pc_eTDD			
7.1.4.24c	Correct HARQ process handling / Enhanced Coverage / CE Mode B	Rel-13	C255	UEs supporting E-UTRA and CE mode B	pc_eFDD			
					pc_eTDD			
7.1.4.25.1	FDD-TDD CA / Correct HARQ process handling / PUSCH / FDD PCell and TDD SCell	Rel-12	C235	UE supporting E-UTRA FDD and TDD and 2DL CA and 2UL CA with tdd-FDD-CA-PCellDuplex-r12 with the second bit set to "1 "				
7.1.4.25.2	FDD-TDD CA / Correct HARQ process handling / PUSCH / TDD PCell and FDD SCell	Rel-12	C234	UE supporting E-UTRA FDD and TDD and 2DL CA and 2UL CA with tdd-FDD-CA-PCellDuplex-r12 with the first bit set to "1"				
7.1.4.26.1	Correct handling of MAC control information / Buffer status / Split DRB	Rel-12	C244	UEs supporting E-UTRA and DC Split DRB	pc_eFDD			
					pc_eTDD			
7.1.4.27.1	DC power headroom reporting / PSCell activation and DL pathloss change reporting / SCG DRB	Rel-12	C245	UEs supporting E-UTRA and DC SCG DRB	pc_eFDD			
