Item	Description	Re-lease	Test sequence (s)	Rel 99 ME	Rel-4 ME	Rel-5 ME	Rel-6 ME	Rel-7 ME	Rel-8 ME	Rel-9 ME	Rel-10 ME	Rel-11 ME	Rel-12 ME	Rel-13 ME	Rel-14 ME	Terminal Profile	Network Dependency	Sup-port	Additional test case execution parameter
	No card inserted	R99	1.2	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	E.1/50	No		
	Detachable reader	R99	2.1	C116	C116	C116	C116	C116	C116	C116	C116	C116	C116	C116	C116	E.1/50	No		
22	POWER ON CARD 27.22.4.19																		
	Additional card inserted	R99	1.1	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	E.1/49	No		
	No ATR	R99	1.2	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	E.1/49	No		
	No card inserted	R99	1.3	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	E.1/49	No		
	Detachable reader	R99	2.1	C116	C116	C116	C116	C116	C116	C116	C116	C116	C116	C116	C116	E.1/49	No		
23	GET READER STATUS 27.22.4.20																		
	Additional card inserted, card powered	R99	1.1	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	E.1/52	No		
	Additional card inserted, card not powered	R99	1.2	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	E.1/52	No		
	Additional card inserted, card not present	R99	1.3	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	C109	E.1/52	No		
	Detachable reader	R99	2.1	C116	C116	C116	C116	C116	C116	C116	C116	C116	C116	C116	C116	E.1/52	No		
24	TIMER MANAGEMENT 27.22.4.21.1																		
	Start timer 1 several times, get the current value of the timer and deactivate the timer successfully	R99	1.1	M	M	M	M	M	M	M	M	M	M	M	M	E.1/57 AND E.1/58	No		
	Start timer 2 several times, get the current value of the timer and deactivate the timer successfully	R99	1.2	M	M	M	M	M	M	M	M	M	M	M	M	E.1/57 AND E.1/58	No		
	Start timer 8 several times, get the current value of the timer and deactivate the timer successfully	R99	1.3	M	M	M	M	M	M	M	M	M	M	M	M	E.1/57 AND E.1/58	No		
	Try to get the current value of a timer which is not started: action in contradiction with the current timer state	R99	1.4	M	M	M	M	M	M	M	M	M	M	M	M	E.1/57 AND E.1/58	No		
	Try to deactivate a timer which is not started: action in contradiction with the current timer state	R99	1.5	M	M	M	M	M	M	M	M	M	M	M	M	E.1/57 AND E.1/58	No		
	Start 8 timers successfully	R99	1.6	M	M	M	M	M	M	M	M	M	M	M	M	E.1/57 AND E.1/58	No		
25	ENVELOPE TIMER EXPIRATION 27.22.4.21.2																		
	Pending proactive UICC command	R99	2.1	M	M	M	M	M	M	M	M	M	M	M	M	E.1/6 AND E.1/57	No		
	USIM application toolkit busy	R99	2.2	M	M	M	M	M	M	M	M	M	M	M	M	E.1/6 AND E.1/57 AND E.1/20	No		
26	SET UP IDLE MODE TEXT 27.22.4.22																		
	Display idle mode text	R99	1.1	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	E.1/61 AND E.1/33 AND E.1/39 AND E.1/110	Yes		
	Replace idle mode text	R99	1.2	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	E.1/61 AND E.1/33 AND E.1/39 AND E.1/110	Yes		
	Remove idle mode test	R99	1.3	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	E.1/61 AND E.1/33 AND E.1/39 AND E.1/110	Yes		
	Competing information on ME display	R99	1.4	C177 AND C179 AND C180	C177 AND C179 AND C180	C177 AND C179 AND C180	C177 AND C179 AND C180	C177 AND C179 AND C180	C177 AND C179 AND C180 AND C183	C177 AND C179 AND C180 AND C183	C177 AND C179 AND C180 AND C183	C177 AND C179 AND C180 AND C183	C177 AND C179 AND C180 AND C183	C177 AND C179 AND C180 AND C183	C177 AND C179 AND C180 AND C183	E.1/61 AND E.1/33 AND E.1/39 AND E.1/110	UMTS System Simulator or System Simulator only		
	ME powered cycled	R99	1.5	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	E.1/61 AND E.1/33 AND E.1/39 AND E.1/110	Yes		
	Refresh with USIM initialization	R99	1.6	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	E.1/61 AND E.1/24 AND E.1/33 AND E.1/39 AND E.1/110	Yes		
	Large text string	R99	1.7	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	C177	E.1/61 AND E.1/33 AND E.1/39 AND E.1/110	Yes		
	Icons – basic icon	R99	2.1, 2.2	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	C108 AND C177	E.1/61 AND E.1/39 AND E.1/110	Yes		
	Icons – colour icon	R99	2.3	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	C171 AND C177	E.1/61 AND E.1/39 AND E.1/110	Yes		
	Icon is not self-explanatory, empty text string	R99	2.4	C188 AND C177	C188 AND C177	C188 AND C177	C188 AND C177	C188 AND C177	C188 AND C177	C188 AND C177	C188 AND C177	C188 AND C177	C188 AND C177	C188 AND C177	C188 AND C177	E.1/61 AND E.1/39 AND E.1/110	Yes		
	UCS2 display in Cyrillic	R99	3.1	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	C118 AND C177	E.1/61 AND E.1/15 AND E.1/39 AND E.1/110	Yes		
	Text attribute – left alignment	Rel-5	4.1			C153 AND C177	C153 AND C177	C153 AND C177	C153 AND C177	C153 AND C177	C153 AND C177	C153 AND C177	C153 AND C177	C153 AND C177	C153 AND C177	E.1/61 AND E.1/33 AND E.1/39 AND E.1/124 AND E.1/217 AND E.1/110	Yes		
	Text attribute – center alignment	Rel-5	4.2			C154 AND C177	C154 AND C177	C154 AND C177	C154 AND C177	C154 AND C177	C154 AND C177	C154 AND C177	C154 AND C177	C154 AND C177	C154 AND C177	E.1/61 AND E.1/33 AND E.1/39 AND E.1/124 AND E.1/218 AND E.1/110	Yes		
	Text attribute – right alignment	Rel-5	4.3			C155 AND C177	C155 AND C177	C155 AND C177	C155 AND C177	C155 AND C177	C155 AND C177	C155 AND C177	C155 AND C177	C155 AND C177	C155 AND C177	E.1/61 AND E.1/33 AND E.1/39 AND E.1/124 AND E.1/219 AND E.1/110	Yes		
	Text attribute – large font size	Rel-5	4.4			C157AND C156 AND C177	C157AND C156 AND C177	C157AND C156 AND C177	C157 AND C156 AND C177	C157 AND C156 AND C177	C157 AND C156 AND C177	C157 AND C156 AND C177	C157 AND C156 AND C177	C157 AND C156 AND C177	C157 AND C156 AND C177	E.1/61 AND E.1/33 AND E.1/39 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110	Yes		
	Text attribute – small font size	Rel-5	4.5			C158AND C156 AND C177	C158AND C156 AND C177	C158AND C156 AND C177	C158 AND C156 AND C177	C158 AND C156 AND C177	C158 AND C156 AND C177	C158 AND C156 AND C177	C158 AND C156 AND C177	C158 AND C156 AND C177	C158 AND C156 AND C177	E.1/61 AND E.1/33 AND E.1/39 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110	Yes		
	Text attribute – bold on	Rel-5	4.6			C160 AND C159 AND C177	C160 AND C159 AND C177	C160 AND C159 AND C177	C160 AND C159 AND C177	C160 AND C159 AND C177	C160 AND C159 AND C177	C160 AND C159 AND C177	C160 AND C159 AND C177	C160 AND C159 AND C177	C160 AND C159 AND C177	E.1/61 AND E.1/33 AND E.1/39 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110	Yes		
	Text attribute – italic on	Rel-5	4.7			C161 AND C159 AND C177	C161 AND C159 AND C177	C161 AND C159 AND C177	C161 AND C159 AND C177	C161 AND C159 AND C177	C161 AND C159 AND C177	C161 AND C159 AND C177	C161 AND C159 AND C177	C161 AND C159 AND C177	C161 AND C159 AND C177	E.1/61 AND E.1/33 AND E.1/39 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110	Yes		
	Text attribute – underline on	Rel-5	4.8			C162 AND C159 AND C177	C162 AND C159 AND C177	C162 AND C159 AND C177	C162 AND C159 AND C177	C162 AND C159 AND C177	C162 AND C159 AND C177	C162 AND C159 AND C177	C162 AND C159 AND C177	C162 AND C159 AND C177	C162 AND C159 AND C177	E.1/61 AND E.1/33 AND E.1/39 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110	Yes		
	Text attribute – strikethrough on	Rel-5	4.9			C163 AND C159 AND C177	C163 AND C159 AND C177	C163 AND C159 AND C177	C163 AND C159 AND C177	C163 AND C159 AND C177	C163 AND C159 AND C177	C163 AND C159 AND C177	C163 AND C159 AND C177	C163 AND C159 AND C177	C163 AND C159 AND C177	E.1/61 AND E.1/33 AND E.1/39 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110	Yes		
	Text attribute – foreground and background colours	Rel-5	4.10			C164 AND C165 AND C177	C164 AND C165 AND C177	C164 AND C165 AND C177	C164 AND C165 AND C177	C164 AND C165 AND C177	C164 AND C165 AND C177	C164 AND C165 AND C177	C164 AND C165 AND C177	C164 AND C165 AND C177	C164 AND C165 AND C177	E.1/61 AND E.1/33 AND E.1/39 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110	Yes		
	UCS2 display in Chinese	R99	5.1			C143 AND C177	C143 AND C177	C143 AND C177	C143 AND C177	C143 AND C177	C143 AND C177	C143 AND C177	C143 AND C177	C143 AND C177	C143 AND C177	E.1/61 AND E.1/15 AND E.1/39 AND E.1/110	Yes		
	UCS2 display in Katakana	R99	6.1			C145 AND C177	C145 AND C177	C145 AND C177	C145 AND C177	C145 AND C177	C145 AND C177	C145 AND C177	C145 AND C177	C145 AND C177	C145 AND C177	E.1/61 AND E.1/15 AND E.1/39 AND E.1/110	Yes		
	Frames	Rel-6	TBD													E.1/61 AND E.1/177 AND E.1/178 AND E.1/110	TBD		
27	RUN AT COMMAND 27.22.4.23																		
	No alpha Identifier	R99	1.1	C110	C110	C110	C110	C110	C110	C110	C110	C110	C110	C110	C110	E.1/62	No		
	null data alpha identifier presented	R99	1.2	C110	C110	C110	C110	C110	C110	C110	C110	C110	C110	C110	C110	E.1/62	No		
	alpha identifier presented	R99	1.3	C110 AND C177	C110 AND C177	C110 AND C177	C110 AND C177	C110 AND C177	C110 AND C177	C110 AND C177	C110 AND C177	C110 AND C177	C110 AND C177	C110 AND C177	C110 AND C177	E.1/62 AND E.1/110	No		
	Icons – basic icon	R99	2.1, 2.3	C114 AND C177	C114 AND C177	C114 AND C177	C114 AND C177	C114 AND C177	C114 AND C177	C114 AND C177	C114 AND C177	C114 AND C177	C114 AND C177	C114 AND C177	C114 AND C177	E.1/62 AND E.1/110	No		
	Icons – colour icon	R99	2.2, 2.4, 	C173 AND C177	C173 AND C177	C173 AND C177	C173 AND C177	C173 AND C177	C173 AND C177	C173 AND C177	C173 AND C177	C173 AND C177	C173 AND C177	C173 AND C177	C173 AND C177	E.1/62 AND E.1/110	No		
	basic icon non self-explanatory, no alpha identifier presented	R99	2.5	C189 AND C177	C189 AND C177	C189 AND C177	C189 AND C177	C189 AND C177	C189 AND C177	C189 AND C177	C189 AND C177	C189 AND C177	C189 AND C177	C189 AND C177	C189 AND C177	E.1/62 AND E.1/110	No		
	Text attribute – left alignment	Rel-5	3.1			C110 AND C153 AND C177	C110 AND C153 AND C177	C110 AND C153 AND C177	C110 AND C153 AND C177	C110 AND C153 AND C177	C110 AND C153 AND C177	C110 AND C153 AND C177	C110 AND C153 AND C177	C110 AND C153 AND C177	C110 AND C153 AND C177	E.1/62 AND E.1/124 AND E.1/217 AND E.1/110	No		
	Text attribute – center alignment	Rel-5	3.2			C110 ANDC154 AND C177	C110 ANDC154 AND C177	C110 ANDC154 AND C177	C110 AND C154 AND C177	C110 AND C154 AND C177	C110 AND C154 AND C177	C110 AND C154 AND C177	C110 AND C154 AND C177	C110 AND C154 AND C177	C110 AND C154 AND C177	E.1/62 AND E.1/124 AND E.1/218 AND E.1/110	No		
	Text attribute – right alignment	Rel-5	3.3			C110 ANDC155 AND C177	C110 ANDC155 AND C177	C110 ANDC155 AND C177	C110 AND C155 AND C177	C110 AND C155 AND C177	C110 AND C155 AND C177	C110 AND C155 AND C177	C110 AND C155 AND C177	C110 AND C155 AND C177	C110 AND C155 AND C177	E.1/62 AND E.1/124 AND E.1/219 AND E.1/110	No		
	Text attribute – large font size	Rel-5	3.4			C110 ANDC157AND C156 AND C177	C110 ANDC157AND C156 AND C177	C110 ANDC157AND C156 AND C177	C110 AND C157 AND C156 AND C177	C110 AND C157 AND C156 AND C177	C110 AND C157 AND C156 AND C177	C110 AND C157 AND C156 AND C177	C110 AND C157 AND C156 AND C177	C110 AND C157 AND C156 AND C177	C110 AND C157 AND C156 AND C177	E.1/62 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110	No		
	Text attribute – small font size	Rel-5	3.5			C110 ANDC158AND C156 AND C177	C110 ANDC158AND C156 AND C177	C110 ANDC158AND C156 AND C177	C110 AND C158 AND C156 AND C177	C110 AND C158 AND C156 AND C177	C110 AND C158 AND C156 AND C177	C110 AND C158 AND C156 AND C177	C110 AND C158 AND C156 AND C177	C110 AND C158 AND C156 AND C177	C110 AND C158 AND C156 AND C177	E.1/62 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110	No		
	Text attribute – bold on	Rel-5	3.6			C110 ANDC160 AND C159 AND C177	C110 ANDC160 AND C159 AND C177	C110 ANDC160 AND C159 AND C177	C110 AND C160 AND C159 AND C177	C110 AND C160 AND C159 AND C177	C110 AND C160 AND C159 AND C177	C110 AND C160 AND C159 AND C177	C110 AND C160 AND C159 AND C177	C110 AND C160 AND C159 AND C177	C110 AND C160 AND C159 AND C177	E.1/62 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110	No		
	Text attribute – italic on	Rel-5	3.7			C110 ANDC161 AND C159 AND C177	C110 ANDC161 AND C159 AND C177	C110 ANDC161 AND C159 AND C177	C110 AND C161 AND C159 AND C177	C110 AND C161 AND C159 AND C177	C110 AND C161 AND C159 AND C177	C110 AND C161 AND C159 AND C177	C110 AND C161 AND C159 AND C177	C110 AND C161 AND C159 AND C177	C110 AND C161 AND C159 AND C177	E.1/62 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110	No		
	Text attribute – underline on	Rel-5	3.8			C110 ANDC162 AND C159 AND C177	C110 ANDC162 AND C159 AND C177	C110 ANDC162 AND C159 AND C177	C110 AND C162 AND C159 AND C177	C110 AND C162 AND C159 AND C177	C110 AND C162 AND C159 AND C177	C110 AND C162 AND C159 AND C177	C110 AND C162 AND C159 AND C177	C110 AND C162 AND C159 AND C177	C110 AND C162 AND C159 AND C177	E.1/62 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110	No		
	Text attribute – strikethrough on	Rel-5	3.9			C110 ANDC163 AND C159 AND C177	C110 ANDC163 AND C159 AND C177	C110 ANDC163 AND C159 AND C177	C110 AND C163 AND C159 AND C177	C110 AND C163 AND C159 AND C177	C110 AND C163 AND C159 AND C177	C110 AND C163 AND C159 AND C177	C110 AND C163 AND C159 AND C177	C110 AND C163 AND C159 AND C177	C110 AND C163 AND C159 AND C177	E.1/62 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110	No		
	Text attribute – foreground and background colours	Rel-5	3.10			C110 ANDC164 AND C165 AND C177	C110 ANDC164 AND C165 AND C177	C110 ANDC164 AND C165 AND C177	C110 AND C164 AND C165 AND C177	C110 AND C164 AND C165 AND C177	C110 AND C164 AND C165 AND C177	C110 AND C164 AND C165 AND C177	C110 AND C164 AND C165 AND C177	C110 AND C164 AND C165 AND C177	C110 AND C164 AND C165 AND C177	E.1/62 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110	No		
	UCS2 Display in Cyrillic	R99	4.1			C149 AND C177	C149 AND C177	C149 AND C177	C149 AND C177	C149 AND C177	C149 AND C177	C149 AND C177	C149 AND C177	C149 AND C177	C149 AND C177	E.1/62 AND E.1/15 AND E.1/110	No		
	UCS2 display in Chinese	R99	5.1			C150 AND C177	C150 AND C177	C150 AND C177	C150 AND C177	C150 AND C177	C150 AND C177	C150 AND C177	C150 AND C177	C150 AND C177	C150 AND C177	E.1/62 AND E.1/15 AND E.1/110	No		
	UCS2 display in Katakana	R99	6.1			C151 AND C177	C151 AND C177	C151 AND C177	C151 AND C177	C151 AND C177	C151 AND C177	C151 AND C177	C151 AND C177	C151 AND C177	C151 AND C177	E.1/62 AND E.1/15 AND E.1/110	No		
	Frames	Rel-6	TBD													E.1/62 AND E.1/177 AND E.1/178 AND E.1/110	TBD		
28	SEND DTMF 27.22.4.24																		
	Normal	R99	1.1	C180	C180	C180	C180	C180	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	E.1/66	UMTS System Simulator or System Simulator only		
	alpha identifier	R99	1.2, 1.3	C180	C180	C180	C180	C180	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	E.1/66 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Mobile is not in a speech call	R99	1.4	C180	C180	C180	C180	C180	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	C180 AND C183	E.1/66	UMTS System Simulator or System Simulator only		
	Icons – basic icon	R99	2.1, 2.3	C108 AND C180	C108 AND C180	C108 AND C180	C108 AND C180	C108 AND C180	C108 AND C180 AND C183	C108 AND C180 AND C183	C108 AND C180 AND C183	C108 AND C180 AND C183	C108 AND C180 AND C183	C108 AND C180 AND C183	C108 AND C180 AND C183	E.1/66 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Icons – colour icon	R99	2.2	C171 AND C180	C171 AND C180	C171 AND C180	C171 AND C180	C171 AND C180	C171 AND C180 AND C183	C171 AND C180 AND C183	C171 AND C180 AND C183	C171 AND C180 AND C183	C171 AND C180 AND C183	C171 AND C180 AND C183	C171 AND C180 AND C183	E.1/66 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	UCS2 display in Cyrillic	R99	3.1	C118 AND C180	C118 AND C180	C118 AND C180	C118 AND C180	C118 AND C180	C118 AND C180 AND C183	C118 AND C180 AND C183	C118 AND C180 AND C183	C118 AND C180 AND C183	C118 AND C180 AND C183	C118 AND C180 AND C183	C118 AND C180 AND C183	E.1/66 AND E.1/15 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – left alignment	Rel-5	4.1			C153 AND C180	C153 AND C180	C153 AND C180	C153 AND C180 AND C183	C153 AND C180 AND C183	C153 AND C180 AND C183	C153 AND C180 AND C183	C153 AND C180 AND C183	C153 AND C180 AND C183	C153 AND C180 AND C183	E.1/66 AND E.1/124 AND E.1/217 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – center alignment	Rel-5	4.2			C154 AND C180	C154 AND C180	C154 AND C180	C154 AND C180 AND C183	C154 AND C180 AND C183	C154 AND C180 AND C183	C154 AND C180 AND C183	C154 AND C180 AND C183	C154 AND C180 AND C183	C154 AND C180 AND C183	E.1/66 AND E.1/124 AND E.1/218 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – right alignment	Rel-5	4.3			C155 AND C180	C155 AND C180	C155 AND C180	C155 AND C180 AND C183	C155 AND C180 AND C183	C155 AND C180 AND C183	C155 AND C180 AND C183	C155 AND C180 AND C183	C155 AND C180 AND C183	C155 AND C180 AND C183	E.1/66 AND E.1/124 AND E.1/219 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – large font size	Rel-5	4.4			C157AND C156 AND C180	C157AND C156 AND C180	C157AND C156 AND C180	C157 AND C156 AND C180 AND C183	C157 AND C156 AND C180 AND C183	C157 AND C156 AND C180 AND C183	C157 AND C156 AND C180 AND C183	C157 AND C156 AND C180 AND C183	C157 AND C156 AND C180 AND C183	C157 AND C156 AND C180 AND C183	E.1/66 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – small font size	Rel-5	4.5			C158AND C156 AND C180	C158AND C156 AND C180	C158AND C156 AND C180	C158 AND C156 AND C180 AND C183	C158 AND C156 AND C180 AND C183	C158 AND C156 AND C180 AND C183	C158 AND C156 AND C180 AND C183	C158 AND C156 AND C180 AND C183	C158 AND C156 AND C180 AND C183	C158 AND C156 AND C180 AND C183	E.1/66 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – bold on	Rel-5	4.6			C160 AND C159 AND C180	C160 AND C159 AND C180	C160 AND C159 AND C180	C160 AND C159 AND C180 AND C183	C160 AND C159 AND C180 AND C183	C160 AND C159 AND C180 AND C183	C160 AND C159 AND C180 AND C183	C160 AND C159 AND C180 AND C183	C160 AND C159 AND C180 AND C183	C160 AND C159 AND C180 AND C183	E.1/66 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – italic on	Rel-5	4.7			C161 AND C159 AND C180	C161 AND C159 AND C180	C161 AND C159 AND C180	C161 AND C159 AND C180 AND C183	C161 AND C159 AND C180 AND C183	C161 AND C159 AND C180 AND C183	C161 AND C159 AND C180 AND C183	C161 AND C159 AND C180 AND C183	C161 AND C159 AND C180 AND C183	C161 AND C159 AND C180 AND C183	E.1/66 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – underline on	Rel-5	4.8			C162 AND C159 AND C180	C162 AND C159 AND C180	C162 AND C159 AND C180	C162 AND C159 AND C180 AND C183	C162 AND C159 AND C180 AND C183	C162 AND C159 AND C180 AND C183	C162 AND C159 AND C180 AND C183	C162 AND C159 AND C180 AND C183	C162 AND C159 AND C180 AND C183	C162 AND C159 AND C180 AND C183	E.1/66 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – strikethrough on	Rel-5	4.9			C163 AND C159 AND C180	C163 AND C159 AND C180	C163 AND C159 AND C180	C163 AND C159 AND C180 AND C183	C163 AND C159 AND C180 AND C183	C163 AND C159 AND C180 AND C183	C163 AND C159 AND C180 AND C183	C163 AND C159 AND C180 AND C183	C163 AND C159 AND C180 AND C183	C163 AND C159 AND C180 AND C183	E.1/66 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – foreground and background colours	Rel-5	4.10			C164 AND C165 AND C180	C164 AND C165 AND C180	C164 AND C165 AND C180	C164 AND C165 AND C180 AND C183	C164 AND C165 AND C180 AND C183	C164 AND C165 AND C180 AND C183	C164 AND C165 AND C180 AND C183	C164 AND C165 AND C180 AND C183	C164 AND C165 AND C180 AND C183	C164 AND C165 AND C180 AND C183	E.1/66 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	UCS2 display in Chinese	R99	5.1			C143 AND C180	C143 AND C180	C143 AND C180	C143 AND C180 AND C183	C143 AND C180 AND C183	C143 AND C180 AND C183	C143 AND C180 AND C183	C143 AND C180 AND C183	C143 AND C180 AND C183	C143 AND C180 AND C183	E.1/66 AND E.1/15 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	UCS2 display in Katakana	R99	6.1			C145 AND C180	C145 AND C180	C145 AND C180	C145 AND C180 AND C183	C145 AND C180 AND C183	C145 AND C180 AND C183	C145 AND C180 AND C183	C145 AND C180 AND C183	C145 AND C180 AND C183	C145 AND C180 AND C183	E.1/66 AND E.1/15 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Frames	Rel-6	TBD													E.1/66 AND E.1/177 AND E.1/178 AND E.1/110	TBD		
29	LANGUAGE NOTIFICATION 27.22.4.25																		
	Specific language notification 	R99	1.1	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	E.1/70	No		
	Non specific language notification	R99	1.2	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	C181 AND C218	E.1/70	No		
30	LAUNCH BROWSER 27.22.4.26																		
	No session already launched: Connect to the default URL	R99 	1.1	C111 AND C177 AND C178 AND C213	C111 AND C177 AND C178 AND C213	C111 AND C177 AND C178 AND C213	C111 AND C177 AND C178 AND C213	C111 AND C177 AND C178 AND C213	C111 AND C177 AND C178 AND C213	C111 AND C177 AND C178 AND C213	C111 AND C177 AND C178 AND C213	C111 AND C177 AND C178 AND C213	C111 AND C177 AND C178 AND C213	C111 AND C177 AND C178 AND C213	C111 AND C177 AND C178 AND C213	E.1/71 AND E.1/110 AND E.1/111	Yes		
	connect to the specified URL, alpha identifier length=0	R99 	1.2	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	E.1/71 AND E.1/110 AND E.1/111	Yes		
	Browser identity, no alpha identifier	R99 	1.3	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	E.1/71 AND E.1/110 AND E.1/111	Yes		
	one bearer specified and gateway/proxy identity	R99 	1.4	C122 AND C177 AND C178	C122 AND C177 AND C178	C122 AND C177 AND C178	C122 AND C177 AND C178	C122 AND C177 AND C178	C122 AND C177 AND C178	C122 AND C177 AND C178	C122 AND C177 AND C178	C122 AND C177 AND C178	C122 AND C177 AND C178	C122 AND C177 AND C178	C122 AND C177 AND C178	E.1/71 AND E.1/98 AND E.1/110 AND E.1/111	Yes		
	void	R99 	1.5	Void	Void	Void	Void	Void	Void	Void	Void	Void	Void	Void	Void	void			
	ME does not support Launch Browser with Default URL	R99 	1.6	C111 AND C177 AND C178 AND C214	C111 AND C177 AND C178 AND C214	C111 AND C177 AND C178 AND C214	C111 AND C177 AND C178 AND C214	C111 AND C177 AND C178 AND C214	C111 AND C177 AND C178 AND C214	C111 AND C177 AND C178 AND C214	C111 AND C177 AND C178 AND C214	C111 AND C177 AND C178 AND C214	C111 AND C177 AND C178 AND C214	C111 AND C177 AND C178 AND C214	C111 AND C177 AND C178 AND C214	E.1/71 AND E.1/110 AND E.1/111	Yes		
	Interaction with current session	R99 	2.1, 2.2, 2.3	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	C111 AND C177 AND C178	E.1/71 AND E.1/110 AND E.1/111	Yes		
