Clause	Title	Release	Applicability	Additional Information
			Condition	Comments	Number of TC Executions	Release on other RAT	Branch
9.1.18.2_1	FDD Relative RSRP Accuracy E-UTRA for Carrier Aggregation for 10MHz + 5MHz (Rel-12 and forward)	Rel-12	C18	UE supporting E-UTRA FDD and CA	Either TC 9.1.6.2_1 or TC 9.1.12.2_1 or TC 9.1.18.2_1 or TC 9.1.20.2_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.19.1	TDD Absolute RSRP Accuracy for E-UTRA Carrier Aggregation for 10MHz + 5MHz	Rel-11 only	C19	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.1 or TC 9.1.13.1 or TC 9.1.19.1 or TC 9.1.21.1 or TC 9.1.24.1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.19.1_1	TDD Absolute RSRP Accuracy for E-UTRA Carrier Aggregation for 10MHz + 5MHz (Rel-12 and forward)	Rel-12	C19	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.1_1 or TC 9.1.13.1_1 or TC 9.1.19.1_1 or TC 9.1.21.1_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.19.2	TDD Relative RSRP Accuracy for E-UTRA Carrier Aggregation for 10MHz + 5MHz	Rel-11 only	C19	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.2 or TC 9.1.13.2 or TC 9.1.19.2 or TC 9.1.21.2 or TC 9.1.24.2 shall be executed. (Note 1)		2Rx, 4Rx
9.1.19.2_1	TDD Relative RSRP Accuracy for E-UTRA Carrier Aggregation for 10MHz + 5MHz (Rel-12 and forward)	Rel-12	C19	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.2_1 or TC 9.1.13.2_1 or TC 9.1.19.2_1 or TC 9.1.21.2_1 or TC 9.1.24.2_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.20.1	FDD Absolute RSRP Accuracy for E-UTRA Carrier Aggregation for 5MHz + 5MHz bandwidth	Rel-10 and Rel-11 only	C18	UE supporting E-UTRA FDD and CA	Either TC 9.1.6.1 or TC 9.1.12.1 or TC 9.1.18.1 or TC 9.1.20.1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.20.1_1	FDD Absolute RSRP Accuracy for E-UTRA Carrier Aggregation for 5MHz + 5MHz bandwidth (Rel-12 and forward)	Rel-12	C18	UE supporting E-UTRA FDD and CA	Either TC 9.1.6.1_1 or TC 9.1.12.1_1 or TC 9.1.18.1_1 or TC 9.1.20.1_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.20.2	FDD Relative RSRP Accuracy for E-UTRA Carrier Aggregation for 5MHz + 5MHz bandwidth	Rel-10 and Rel-11 only	C18	UE supporting E-UTRA FDD and CA	Either TC 9.1.6.2 or TC 9.1.12.2 or TC 9.1.18.2 or TC 9.1.20.2 shall be executed. (Note 1)		2Rx, 4Rx
9.1.20.2_1	FDD Relative RSRP Accuracy for E-UTRA Carrier Aggregation for 5MHz + 5MHz bandwidth (Rel-12 and forward)	Rel-12	C18	UE supporting E-UTRA FDD and CA	Either TC 9.1.6.2_1 or TC 9.1.12.2_1 or TC 9.1.18.2_1 or TC 9.1.20.2_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.21.1	TDD Absolute RSRP Accuracy for E-UTRA Carrier Aggregation for 5MHz + 5MHz	Rel-10 and Rel-11 only	C19	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.1 or TC 9.1.13.1 or TC 9.1.19.1 or TC 9.1.21.1 or TC 9.1.24.1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.21.1_1	TDD Absolute RSRP Accuracy for E-UTRAN Carrier Aggregation for 5MHz + 5MHz (Rel-12 and forward)	Rel-12	C19	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.1_1 or TC 9.1.13.1_1 or TC 9.1.19.1_1 or TC 9.1.21.1_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.21.2	TDD Relative RSRP Accuracy for E-UTRA Carrier Aggregation for 5MHz + 5MHz	Rel-10 and Rel-11 only	C19	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.2 or TC 9.1.13.2 or TC 9.1.19.2 or TC 9.1.21.2 or TC 9.1.24.2 shall be executed. (Note 1)		2Rx, 4Rx
9.1.21.2_1	TDD Relative RSRP Accuracy for E-UTRA Carrier Aggregation for 5MHz + 5MHz (Rel-12 and forward)	Rel-12	C19	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.2_1 or TC 9.1.13.2_1 or TC 9.1.19.2_1 or TC 9.1.21.2_1 or TC 9.1.24.2_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.22	FDD-TDD RSRP Accuracy E-UTRA for Carrier Aggregation with PCell in FDD	Rel-12	C141	UE supporting E-UTRA FDD and TDD and 2DL CA with FDD as PCell			2Rx, 4Rx
9.1.23	FDD-TDD RSRP Accuracy E-UTRA for Carrier Aggregation with PCell in TDD	Rel-12	C142	UE supporting E-UTRA FDD and TDD and 2DL CA with TDD as PCell			2Rx, 4Rx
9.1.24.1	TDD Absolute RSRP Accuracy for E-UTRA Carrier Aggregation for 20MHz + 10MHz	Rel-10 and Rel-11 only	C19b	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.1 or TC 9.1.13.1 or TC 9.1.19.1 or TC 9.1.21.1 or TC 9.1.24.1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.24.1_1	TDD Absolute RSRP Accuracy for E-UTRA Carrier Aggregation for 20MHz + 10MHz (Rel-12 and forward)	Rel-12	C19b	UE supporting E-UTRA TDD and CA			2Rx, 4Rx
9.1.24.2	TDD Relative RSRP Accuracy for E-UTRA Carrier Aggregation for 20MHz + 10MHz	Rel-10 and Rel-11 only	C19b	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.2 or TC 9.1.13.2 or TC 9.1.19.2 or TC 9.1.21.2 or TC 9.1.24.2 shall be executed. (Note 1)		2Rx, 4Rx
9.1.24.2_1	TDD Relative RSRP Accuracy for E-UTRA Carrier Aggregation for 20MHz + 10MHz (Rel-12 and forward)	Rel-12	C19b	UE supporting E-UTRA TDD and CA	Either TC 9.1.7.2_1 or TC 9.1.13.2_1 or TC 9.1.19.2_1 or TC 9.1.21.2_1 or TC 9.1.24.2_1 shall be executed. (Note 1)		2Rx, 4Rx
9.1.25	FDD intra-frequency absolute and relative RSRP accuracies in CRS based discovery signal	Rel-12	C101	UE supporting E-UTRA FDD and CRS based discovery signals measurement and Feature Group Indicator 16			2Rx, 4Rx
9.1.26	TDD intra-frequency absolute and relative RSRP accuracies in CRS based discovery signal	Rel-12	C102	UE supporting E-UTRA TDD and CRS based discovery signals measurement and Feature Group Indicator 16			2Rx, 4Rx
9.1.27	FDD-FDD inter-frequency absolute and relative RSRP accuracies in CRS based discovery signal	Rel-12	C103	UE supporting E-UTRA FDD and CRS based discovery signals measurement and Feature Group Indicator 16 and 25			2Rx, 4Rx
9.1.28	TDD-TDD inter-frequency absolute and relative RSRP accuracies in CRS based discovery signal	Rel-12	C104	UE supporting E-UTRA TDD and CRS based discovery signals measurement and Feature Group Indicator 16 and 25			2Rx, 4Rx
9.1.29	FDD intra frequency absolute and relative CSI-RSRP accuracies in CSI-RS based discovery signal	Rel-12	C114	UE supporting E-UTRA FDD and CSI-RS based discovery signal measurement and Feature Group Indicator 16			2Rx, 4Rx
9.1.30	TDD intra frequency absolute and relative CSI-RSRP accuracies in CSI-RS based discovery signal	Rel-12	C115	UE supporting E-UTRA TDD and CSI-RS based discovery signal measurement and Feature Group Indicator 16			2Rx, 4Rx
9.1.31	FDD-FDD inter-frequency absolute and relative CSI-RSRP accuracies in CSI-RS based discovery signal	Rel-12	C116	UE supporting E-UTRA FDD and CSI-RS based discovery signal measurement and Feature Group Indicator 16 and 25			2Rx, 4Rx
9.1.32	TDD-TDD inter-frequency absolute and relative CSI-RSRP accuracies in CSI-RS based discovery signal	Rel-12	C117	UE supporting E-UTRA TDD and CSI-RS based discovery signal measurement and Feature Group Indicator 16 and 25			2Rx, 4Rx
9.1.33	FDD absolute and relative RSRP accuracies for E-UTRAN Carrier Aggregation in CRS based discovery signal	Rel-12	C128	UE supporting E-UTRA FDD and CA and CRS based discovery signal measurement			2Rx, 4Rx
9.1.34	TDD absolute and relative RSRP accuracies for E-UTRAN Carrier Aggregation in CRS based discovery signal	Rel-12	C129	UE supporting E-UTRA TDD and CA and CRS based discovery signal measurement			2Rx, 4Rx
9.1.35	FDD absolute and relative CSI-RSRP accuracies for E-UTRAN Carrier Aggregation in CSI-RS based discovery signal	Rel-12	C118	UE supporting E-UTRA FDD and CA and CSI-RS based discovery signal measurement			2Rx, 4Rx
9.1.36	TDD absolute and relative CSI-RSRP accuracies for E-UTRAN Carrier Aggregation in CSI-RS based discovery signal	Rel-12	C119	UE supporting E-UTRA TDD and CA and CSI-RS based discovery signal measurement			2Rx, 4Rx
9.1.37	3DL PCell in FDD RSRP for E-UTRAN in Carrier Aggregation	Rel-12	C69	UE supporting E-UTRA FDD and TDD and 3DL CA with FDD as PCell			2Rx, 4Rx
9.1.38	3DL PCell in TDD RSRP for E-UTRAN in Carrier Aggregation	Rel-12	C70	UE supporting E-UTRA FDD and TDD and 3DL CA with TDD as PCell			2Rx, 4Rx
9.1.39	3DL FDD RSRP for E-UTRAN in Carrier Aggregation	Rel-10 and Rel-11 only	C71	UE supporting E-UTRA FDD and 3DL with intra-band contiguous CA, or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA			2Rx, 4Rx
		Rel-11 only	C72	UE supporting E-UTRA FDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA			2Rx, 4Rx
9.1.39_1	3DL FDD RSRP for E-UTRAN in Carrier Aggregation(Rel-12 and forward)	Rel-12	C75	UE supporting E-UTRA FDD and 3DL CA			2Rx, 4Rx
9.1.40	3DL TDD RSRP for E-UTRAN in Carrier Aggregation	Rel-10 and Rel-11 only	C73	UE supporting E-UTRA TDD and 3DL with intra-band contiguous CA, or 3DL with inter-band CA, or 3DLwith intra-band contiguous and inter-band CA			2Rx, 4Rx
		Rel-11 only	C74	UE supporting E-UTRA TDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA			2Rx, 4Rx
9.1.40_1	3DL TDD RSRP for E-UTRAN in Carrier Aggregation (Rel-12 and forward)	Rel-12	C76	UE supporting E-UTRA TDD and 3DL CA			2Rx, 4Rx
9.1.41.1	FD-FDD Intra Frequency Absolute RSRP Accuracy for UE category 0	Rel-12	C88	UE supporting E-UTRA FD-FDD (UE Category 0) and Feature Group Indicator 16			
9.1.41.2	FD-FDD Intra Frequency Relative RSRP Accuracy for UE category 0	Rel-12	C88	UE supporting E-UTRA FD-FDD (UE Category 0) and Feature Group Indicator 16			
9.1.42.1	HD-FDD Intra Frequency Absolute RSRP Accuracy for UE category 0	Rel-12	C89	UE supporting E-UTRA HD-FDD (UE category 0) and Feature Group Indicator 16			
9.1.42.2	HD-FDD Intra Frequency Relative RSRP Accuracy for UE category 0	Rel-12	C89	UE supporting E-UTRA HD-FDD (UE category 0) and Feature Group Indicator 16			
9.1.43.1	TDD Intra Frequency Absolute RSRP Accuracy for UE category 0	Rel-12	C90	UE supporting E-UTRA TDD (UE Category 0) and Feature Group Indicator 16			
9.1.43.2	TDD Intra Frequency Relative RSRP Accuracy for UE category 0	Rel-12	C90	UE supporting E-UTRA TDD (UE Category 0) and Feature Group Indicator 16			
9.1.44	4 DL CA PCell in FDD FDD-TDD RSRP for E-UTRAN in Carrier Aggregation	Rel-12	C69a	UE supporting E-UTRA FDD and TDD and 4DL CA with FDD as PCell			2Rx, 4Rx
9.1.45	4 DL CA PCell in TDD FDD-TDD RSRP for E-UTRAN in Carrier Aggregation	Rel-12	C70a	UE supporting E-UTRA FDD and TDD and 4DL CA with TDD as PCell			2Rx, 4Rx
9.1.46	4DL FDD RSRP for E-UTRAN in Carrier Aggregation	Rel-12	C75a	UE supporting E-UTRA FDD and 4DL CA			2Rx, 4Rx
9.1.47	4DL TDD RSRP for E-UTRAN in Carrier Aggregation	Rel-12	C76a	UE supporting E-UTRA TDD and 4DL CA			2Rx, 4Rx
9.1.48	5 DL PCell in FDD RSRP for E-UTRAN in Carrier Aggregation	Rel-12	C69b	UE supporting E-UTRA FDD and TDD and 5DL CA with FDD as PCell			2Rx, 4Rx
9.1.49	5 DL PCell in TDD RSRP for E-UTRAN in Carrier Aggregation	Rel-12	C70b	UE supporting E-UTRA FDD and TDD and 5DL CA with TDD as PCell			2Rx, 4Rx
9.1.52	FD-FDD RSRP Intra frequency case for Cat-M1 UE in CEModeA	Rel-13	C94c	UE supporting E-UTRA FD-FDD and UE Category M1 and Feature Group Indicator 16			
9.1.53	HD-FDD RSRP Intra frequency case for Cat-M1 UE in CEModeA	Rel-13	C107d	UE supporting E-UTRA HD-FDD and UE Category M1 and Feature Group Indicator 16			
9.1.54	TDD RSRP Intra frequency case for Cat-M1 UE in CEModeA	Rel-13	C93b	UE supporting E-UTRA TDD and UE Category M1 and Feature Group Indicator 16			
9.1.55	FS3 Intra frequency absolute and relative RSRP accuracies with FDD PCell	Rel-13	C149	UE supporting E-UTRA FDD and Downlink LAA with FDD as Pcell and Feature Group Indicator 16			2Rx, 4Rx
9.1.56	FS3 Intra frequency absolute and relative RSRP accuracies with TDD PCell	Rel-13	C152	UE supporting E-UTRA TDD and Downlink LAA and Feature Group Indicator 16			2Rx, 4Rx
9.1.57	FD-FDD RSRP Intra frequency case for Cat-M1 UE in CEModeB	Rel-13	C107f	UE supporting E-UTRA FD-FDD and UE Category M1 and CE Mode B and Feature Group Indicator 16			
9.1.58	HD-FDD RSRP Intra frequency case for Cat-M1 UE in CEModeB	Rel-13	C107e	UE supporting E-UTRA HD-FDD and UE Category M1 and CE Mode B and Feature Group Indicator 16			
9.1.59	TDD RSRP Intra frequency case for Cat-M1 UE in CEModeB	Rel-13	C93d	UE supporting E-UTRA TDD and UE Category M1 and CE Mode B and Feature Group Indicator 16			
9.1.60	FS3 absolute and relative CSI-RSRP accuracies for E-UTRAN Carrier Aggregation in CSI-RS based discovery signal with FDD PCell	Rel-13	C150	UE supporting E-UTRA FDD and Downlink LAA with FDD as Pcell and CSI-RS based discovery signals and Feature Group Indicator 16			2Rx, 4Rx
9.1.61	FS3 absolute and relative CSI-RSRP accuracies for E-UTRAN Carrier Aggregation in CSI-RS based discovery signal with TDD PCell	Rel-13	C151	UE supporting E-UTRA TDD and Downlink LAA and CSI-RS based discovery signals and Feature Group Indicator 16			2Rx, 4Rx
9.2.1.1	FDD Intra Frequency Absolute RSRQ Accuracy	Rel-8	C01f	UE supporting E-UTRA FDD and Feature Group Indicator 16			2Rx, 4Rx
9.2.2.1	TDD Intra Frequency Absolute RSRQ Accuracy	Rel-8	C02f	UE supporting E-UTRA TDD and Feature Group Indicator 16			2Rx, 4Rx
9.2.3.1	FDD - FDD Inter Frequency Absolute RSRQ Accuracy	Rel-8	C01g	UE supporting E-UTRA FDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.2.3.2	FDD - FDD Inter Frequency Relative Accuracy of RSRQ	Rel-8	C01g	UE supporting E-UTRA FDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.2.4.1	TDD - TDD Inter Frequency Absolute RSRQ Accuracy	Rel-8	C02g	UE supporting E-UTRA TDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.2.4.2	TDD -TDD Inter Frequency Relative Accuracy of RSRQ	Rel-8	C02g	UE supporting E-UTRA TDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.2.4A.1	FDD - TDD Inter Frequency Absolute RSRQ Accuracy	Rel-9	C42	UE supporting E-UTRA FDD and E-UTRA TDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.2.4A.2	FDD - TDD Inter Frequency Relative Accuracy of RSRQ	Rel-9	C42	UE supporting E-UTRA FDD and E-UTRA TDD and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.2.5.1	FDD Absolute RSRQ Accuracy for E-UTRA Carrier Aggregation	Rel-10	C18	UE supporting E-UTRA FDD and CA	Either TC 9.2.5.1 or TC 9.2.11.1 or TC 9.2.21.1 or TC 9.2.23.1 shall be executed. (Note 1)		2Rx, 4Rx
9.2.5.2	FDD Relative RSRQ Accuracy E-UTRA for Carrier Aggregation	Rel-10	C18	UE supporting E-UTRA FDD and CA	Either TC 9.2.5.2 or TC 9.2.11.2 or TC 9.2.21.2 or TC 9.2.23.2 shall be executed. (Note 1)		2Rx, 4Rx
9.2.6.1	TDD Absolute RSRQ Accuracy for E-UTRA Carrier Aggregation	Rel-10	C19	UE supporting E-UTRA TDD and CA	Either TC 9.2.6.1 or TC 9.2.12.1 or TC 9.2.22.1 or TC 9.2.24.1 or TC 9.2.27.1 shall be executed. (Note 1)		2Rx, 4Rx
9.2.6.2	TDD Relative RSRQ Accuracy for E-UTRA Carrier Aggregation	Rel-10	C19	UE supporting E-UTRA TDD and CA	Either TC 9.2.6.2 or TC 9.2.12.2 or TC 9.2.22.2 or TC 9.2.24.2 or TC 9.2.27.2 shall be executed. (Note 1)		2Rx, 4Rx
9.2.7.1	FDD RSRQ under Time Domain Measurement Resource Restriction with Non-MBSFN ABS (eICIC)	Rel-10	C45	UE supporting E-UTRA FDD and Feature Group Indicator 115			
9.2.8.1	TDD RSRQ under Time Domain Measurement Resource Restriction with Non-MBSFN ABS (eICIC)	Rel-10	C46	UE supporting E-UTRA TDD and Feature Group Indicator 115			
9.2.9.1	FDD Absolute RSRQ under Time Domain Measurement Resource Restriction with MBSFN ABS (eICIC)	Rel-10	C45	UE supporting E-UTRA FDD and Feature Group Indicator 115			
9.2.10.1	TDD Absolute RSRQ under Time Domain Measurement Resource Restriction with MBSFN ABS (eICIC)	Rel-10	C46	UE supporting E-UTRA TDD and Feature Group Indicator 115			
9.2.11.1	FDD Absolute RSRQ Accuracy for E-UTRA Carrier Aggregation for 20MHz	Rel-10	C18	UE supporting E-UTRA FDD and CA	Either TC 9.2.5.1 or TC 9.2.11.1 or TC 9.2.21.1 or TC 9.2.23.1 shall be executed. (Note 1)		2Rx, 4Rx
9.2.11.2	FDD Relative RSRQ Accuracy for E-UTRA Carrier Aggregation for 20MHz	Rel-10	C18	UE supporting E-UTRA FDD and CA	Either TC 9.2.5.2 or TC 9.2.11.2 or TC 9.2.21.2 or TC 9.2.23.2 shall be executed. (Note 1)		2Rx, 4Rx
9.2.12.1	TDD Absolute RSRQ Accuracy for E-UTRA Carrier Aggregation for 20MHz	Rel-10	C19	UE supporting E-UTRA TDD and CA	Either TC 9.2.6.1 or TC 9.2.12.1 or TC 9.2.22.1 or TC 9.2.24.1 or TC 9.2.27.1 shall be executed. (Note 1)		2Rx, 4Rx
9.2.12.2	TDD Relative RSRQ Accuracy for E-UTRA Carrier Aggregation for 20MHz	Rel-10	C19	UE supporting E-UTRA TDD and CA	Either TC 9.2.6.2 or TC 9.2.12.2 or TC 9.2.22.2 or TC 9.2.24.2 or TC 9.2.27.2 shall be executed. (Note 1)		2Rx, 4Rx
9.2.15.1	FDD RSRQ Accuracy under Time Domain Measurement Resource Restriction with CRS Assistance Information and Non-MBSFN ABS (feICIC)	Rel-11	C59	UE supporting E-UTRA FDD and CRS interference handling and Feature Group Indicator 115			
9.2.16.1	TDD RSRQ Accuracy under Time Domain Measurement Resource Restriction with CRS Assistance Information and Non-MBSFN ABS (feICIC)	Rel-11	C60	UE supporting E-UTRA TDD and CRS interference handling and ss-CCH interference handling and Feature Group Indicator 115			
9.2.17.1	FDD Intra Frequency Absolute RSRQ Accuracy for 5MHz Bandwidth	Rel-8	C50	UE supporting E-UTRA FDD and E-UTRA Band 31 and Feature Group Indicator 16			
9.2.18.1	FDD - FDD Inter Frequency Absolute RSRQ Accuracy for 5MHz Bandwidth	Rel-8	C51	UE supporting E-UTRA FDD and E-UTRA Band 31 and Feature Group Indicators 16 and 25			
9.2.18.2	FDD - FDD Inter Frequency Relative Accuracy of RSRQ for 5MHz Bandwidth	Rel-8	C51	UE supporting E-UTRA FDD and E-UTRA Band 31 and Feature Group Indicators 16 and 25			
9.2.19.1	FDD-FDD Inter Frequency absolute WB-RSRQ	Rel-11	C01h	UE supporting E-UTRA FDD and WB-RSRQ measurement and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.2.20.1	TDD-TDD Inter Frequency absolute WB-RSRQ	Rel-11	C02h	UE supporting E-UTRA TDD and WB-RSRQ measurement and Feature Group Indicators 16 and 25			2Rx, 4Rx
9.2.21.1	FDD Absolute RSRQ Accuracy for E-UTRA Carrier Aggregation for 10MHz+5MHz	Rel-11	C18	UE supporting E-UTRA FDD and CA	Either TC 9.2.5.1 or TC 9.2.11.1 or TC 9.2.21.1 or TC 9.2.23.1 shall be executed. (Note 1)		2Rx, 4Rx
9.2.21.2	FDD Relative RSRQ Accuracy for E-UTRA Carrier Aggregation for 10MHz+5MHz	Rel-11	C18	UE supporting E-UTRA FDD and CA	Either TC 9.2.5.2 or TC 9.2.11.2 or TC 9.2.21.2 or TC 9.2.23.2 shall be executed. (Note 1)		2Rx, 4Rx
9.2.22.1	TDD Absolute RSRQ Accuracy for E-UTRA Carrier Aggregation for 10MHz+5MHz	Rel-11	C19	UE supporting E-UTRA TDD and CA	Either TC 9.2.6.1 or TC 9.2.12.1 or TC 9.2.22.1 or TC 9.2.24.1 or TC 9.2.27.1 shall be executed. (Note 1)		2Rx, 4Rx
9.2.22.2	TDD Absolute RSRQ Accuracy for E-UTRA Carrier Aggregation for 10MHz+5MHz	Rel-11	C19	UE supporting E-UTRA TDD and CA	Either TC 9.2.6.2 or TC 9.2.12.2 or TC 9.2.22.2 or TC 9.2.24.2 or TC 9.2.27.2 shall be executed. (Note 1)		2Rx, 4Rx
9.2.23.1	FDD Absolute RSRQ Accuracy for E-UTRA Carrier Aggregation for 5MHz+5MHz	Rel-10	C18	UE supporting E-UTRA FDD and CA	Either TC 9.2.5.1 or TC 9.2.11.1 or TC 9.2.21.1 or TC 9.2.23.1 shall be executed. (Note 1)		2Rx, 4Rx
9.2.23.2	FDD Relative RSRQ Accuracy for E-UTRA Carrier Aggregation for 5MHz+5MHz	Rel-10	C18	UE supporting E-UTRA FDD and CA	Either TC 9.2.5.2 or TC 9.2.11.2 or TC 9.2.21.2 or TC 9.2.23.2 shall be executed. (Note 1)		2Rx, 4Rx
9.2.24.1	TDD Absolute RSRQ Accuracy for E-UTRA Carrier Aggregation for 5MHz+5MHz	Rel-10	C19	UE supporting E-UTRA TDD and CA	Either TC 9.2.6.1 or TC 9.2.12.1 or TC 9.2.22.1 or TC 9.2.24.1 or TC 9.2.27.1 shall be executed. (Note 1)		2Rx, 4Rx
9.2.24.2	TDD Relative RSRQ Accuracy for E-UTRA Carrier Aggregation for 5MHz+5MHz	Rel-10	C19	UE supporting E-UTRA TDD and CA	Either TC 9.2.6.2 or TC 9.2.12.2 or TC 9.2.22.2 or TC 9.2.24.2 or TC 9.2.27.2 shall be executed. (Note 1)		2Rx, 4Rx
9.2.25.1	Absolute RSRQ Accuracy for E-UTRAN TDD-FDD Carrier Aggregation with PCell in FDD	Rel-12	C67	UE supporting E-UTRA FDD and TDD and 2DL CA with FDD as PCell			2Rx, 4Rx
9.2.25.2	Relative RSRQ Accuracy for E-UTRAN TDD-FDD Carrier Aggregation with PCell in FDD	Rel-12	C67	UE supporting E-UTRA FDD and TDD and 2DL CA with FDD as PCell			2Rx, 4Rx
9.2.26.1	Absolute RSRQ Accuracy for E-UTRAN TDD-FDD Carrier Aggregation with PCell in TDD	Rel-12	C142	UE supporting E-UTRA FDD and TDD and 2DL CA with TDD as PCell			2Rx, 4Rx
9.2.26.2	Relative RSRQ Accuracy for E-UTRAN TDD-FDD Carrier Aggregation with PCell in TDD	Rel-12	C142	UE supporting E-UTRA FDD and TDD and 2DL CA with TDD as PCell			2Rx, 4Rx
9.2.27.1	TDD Absolute RSRQ Accuracy for E-UTRA Carrier Aggregation for 20MHz+10MHz	Rel-10	C19b	UE supporting E-UTRA TDD and CA	Either TC 9.2.6.1 or TC 9.2.12.1 or TC 9.2.22.1 or TC 9.2.24.1 or TC 9.2.27.1 shall be executed. (Note 1)		2Rx, 4Rx
9.2.27.2	TDD Relative RSRQ Accuracy for E-UTRA Carrier Aggregation for 20MHz+10MHz	Rel-10	C19b	UE supporting E-UTRA TDD and CA	Either TC 9.2.6.2 or TC 9.2.12.2 or TC 9.2.22.2 or TC 9.2.24.2 or TC 9.2.27.2 shall be executed. (Note 1)		2Rx, 4Rx
9.2.28	FDD intra-frequency absolute RSRQ accuracy with CRS based discovery signal	Rel-12	C101	UE supporting E-UTRA FDD and CRS based discovery signals measurement and Feature Group Indicator 16			2Rx, 4Rx
9.2.29	TDD intra-frequency absolute RSRQ accuracy with CRS based discovery signal	Rel-12	C102	UE supporting E-UTRA TDD and CRS based discovery signals measurement and Feature Group Indicator 16			2Rx, 4Rx
9.2.30	FDD-FDD inter-frequency absolute and relative RSRQ accuracies with CRS based discovery signal	Rel-12	C103	UE supporting E-UTRA FDD and CRS based discovery signals measurement and Feature Group Indicator 16 and 25			2Rx, 4Rx
9.2.31	TDD-TDD inter-frequency absolute and relative RSRQ accuracies with CRS based discovery signal	Rel-12	C104	UE supporting E-UTRA TDD and CRS based discovery signals measurement and Feature Group Indicator 16 and 25			2Rx, 4Rx
9.2.32	FDD absolute and relative RSRQ accuracy for E-UTRAN Carrier Aggregation in CRS based discovery signal	Rel-12	C128	UE supporting E-UTRA FDD and CA and CRS based discovery signal measurement			2Rx, 4Rx
9.2.33	TDD absolute and relative RSRQ accuracy for E-UTRAN Carrier Aggregation in CRS based discovery signal	Rel-12	C129	UE supporting E-UTRA TDD and CA and CRS based discovery signal measurement			2Rx, 4Rx
9.2.38	3DL PCell in FDD RSRQ for E-UTRAN in Carrier Aggregation	Rel-12	C69	UE supporting E-UTRA FDD and TDD and 3DL CA with FDD as PCell			2Rx, 4Rx
9.2.39	3 DL PCell in TDD RSRQ for E-UTRAN in Carrier Aggregation	Rel-12	C70	UE supporting E-UTRA FDD and TDD and 3DL CA with TDD as PCell			2Rx, 4Rx
9.2.40	3 DL FDD RSRQ for E-UTRAN in Carrier Aggregation	Rel-10	C71	UE supporting E-UTRA FDD and 3DL with intra-band contiguous CA, or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA			2Rx, 4Rx
		Rel-11	C72	UE supporting E-UTRA FDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA			2Rx, 4Rx
9.2.41	3DL TDD RSRQ for E-UTRAN in Carrier Aggregation	Rel-10	C73	UE supporting E-UTRA TDD and 3DL with intra-band contiguous CA, or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA			2Rx, 4Rx
		Rel-11	C74	UE supporting E-UTRA TDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA			2Rx, 4Rx
9.2.42.1	FD-FDD Intra Frequency Absolute RSRQ Accuracy for UE category 0	Rel-12	C88	UE supporting E-UTRA FD-FDD (UE Category 0) and Feature Group Indicator 16			
9.2.43.1	HD-FDD Intra Frequency Absolute RSRQ Accuracy for UE category 0	Rel-12	C89	UE supporting E-UTRA HD-FDD (UE Category 0) and Feature Group Indicator 16			
9.2.44.1	TDD Intra Frequency Absolute RSRQ Accuracy for UE category 0	Rel-12	C90	UE supporting E-UTRA TDD (UE Category 0) and Feature Group Indicator 16			
9.2.45	4 DL CA PCell in FDD FDD-TDD RSRQ for E-UTRAN in Carrier Aggregation	Rel-12	C69a	UE supporting E-UTRA FDD and TDD and 4DL CA with FDD as PCell			
