Clause	Title	Release	Applicability	Tested Bands / CA-Configurations Selection	Branch	Additional Information
6.6.3.1A.2	Transmitter Spurious emissions for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.6.3.1A.3	Transmitter Spurious emissions for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.6.3F.1	Transmitter Spurious emissions for category NB1	Rel-13	C112b	UE supporting category NB1	D11	HD-FDD	
6.6.3F.2	Spurious emission band UE co-existence for category NB1	Rel-13	C112b	UE supporting category NB1	D11	HD-FDD	
6.6.3.2	Spurious emission band UE co-existence	Rel-8 	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.6.3.2A.1	Spurious emission band UE co-existence for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.6.3.2A.2	Spurious emission band UE co-existence for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.6.3.2A.3	Spurious emission band UE co-existence for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.6.3.3	Additional spurious emissions	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.6.3.3_1	Additional spurious emissions for UL 64QAM	Rel-13	C147	UE supporting E-UTRA and UL 64QAM	D01	FDD, TDD	Note 1
							
6.6.3.3A.1	Additional spurious emissions for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.6.3.3A.1_1	Additional spurious emissions for CA (intra-band contiguous DL CA and UL CA) for UL 64QAM	Rel-13	C148	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA and UL 64QAM.	E01	FDD, TDD	Note 1
							
6.6.3.3A.2	Additional spurious emissions for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.6.3.3A.2_1	Additional spurious emissions for CA (inter-band DL CA and UL CA) for UL 64QAM	Rel-13	C160	UE supporting E-UTRA and inter-band DL CA and UL CA and UL 64QAM	E03	FDD, TDD	Note 1
							
6.6.3.3A.3	Additional spurious emissions for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD, TDD	
							
6.6.3B.2	Spurious emission band UE co-existence for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.6.3E.1	Transmitter Spurious emissions for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.6.3E.2	Transmitter Spurious Band UE co-existence for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.6.3EA.1	Transmitter Spurious emissions for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.6.3EA.2	Spurious emission band UE co-existence for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.6.3EA.3	Additional spurious emissions for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.6.3E.3	Additional spurious emissions for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.7	Transmit intermodulation	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
6.7A.1	Transmit intermodulation for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD, TDD	
							
6.7A.2	Transmit intermodulation for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD, TDD	
							
6.7B	Transmit intermodulation for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
6.7E	Transmit intermodulation for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0	D01	FDD, HD-FDD, TDD	
							
							
6.7EA	Transmit intermodulation for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
6.7F	Transmit intermodulation for category NB1	Rel-13	C112b	UE supporting Category NB1	D12, D13	HD-FDD	
6.8B	Time alignment between transmitter branches for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
		Receiver Characteristics
7.3	Reference sensitivity level	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
7.3_1	Reference sensitivity level with 4 Rx antenna ports	Rel-10	C113a	UE supporting E-UTRA with 4Rx antenna ports	D09	FDD, TDD	
							
7.3A.1	Reference sensitivity level for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.3A.2	Reference sensitivity level for CA (intra-band contiguous DL CA without UL CA)	Rel-10	C20	UE supporting E-UTRA and intra-band contiguous DL CA	E08	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.3A.3	Reference sensitivity level for CA (inter-band DL CA without UL CA)	Rel-10	C21	UE supporting E-UTRA and inter-band DL CA	E10	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-12	C146	UE supporting E-UTRA and 2DL CA with FDD-TDD inter-band CA			
		Rel-13	C207	UE supporting E-UTRA and 2DL CA with FDD-TDD inter-band CA under FS3			
		Rel-13	C208	UE supporting E-UTRA and 2DL CA with TDD-TDD inter-band CA under FS3			
7.3A.4	Reference sensitivity level for CA (intra-band non-contiguous DL CA without UL CA)	Rel-11	C43	UE supporting E-UTRA and intra-band non-contiguous DL CA but no UL CA	E09	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.3A.5	Reference sensitivity level for 3DL CA	Rel-10	C121	UE supporting E-UTRA and 3DL with intra-band contiguous CA or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA	E07	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-11	C122	UE supporting E-UTRA and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA	E07		
							
		Rel-12	C123	UE supporting E-UTRA and 3DL CA with FDD-TDD CA	E07		
		Rel-13	C268	UE supporting E-UTRA and 3DL CA with FDD-TDD CA under FS3	E07		
		Rel-13	C269	UE supporting E-UTRA and 3DL CA with TDD-TDD CA under FS3	E07		
7.3A.6	Reference sensitivity level for CA (inter-band DL CA and UL CA)	Rel-11	C116	UE supporting E-UTRA and inter-band DL CA and UL CA	E03	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.3A.7	Reference sensitivity level for CA (intra-band non-contiguous DL CA and UL CA)	Rel-11	C115	UE supporting E-UTRA and intra-band non-contiguous DL CA and UL CA	E02	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.3A.9	Reference sensitivity level for 4DL CA	Rel-11	C187	UE supporting E-UTRA and 4DL with TDD Intra-band contiguous CA, or 4DL with Inter-band CA, or 4DL with Intra-band contiguous and Inter-band CA.	E14	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-11	C211	UE supporting E-UTRA and 4DL with Intra-band non-contiguous and Inter-band CA, or 4DL with Intra-band non-contiguous and Intra-band contiguous CA or 4DL with Intra-band non-contiguous and Intra-band non-contiguous CA	E14		
							
		Rel-12	C188	UE supporting E-UTRA and 4DL CA with FDD-TDD CA	E14		
7.3A.10	Reference sensitivity level for 5DL CA	Rel-11	C221	UE supporting E-UTRA and 5DL with Intra-band non-contiguous CA, or 5DL with Intra-band contiguous and Inter-band CA, or 5DL with Intra-band non-contiguous and Inter-band CA, or 5DL with Intra-band non-contiguous and Intra-band contiguous CA, or 5DL with Intra-band non-contiguous and Intra-band non-contiguous CA, or 5DL with Intra-band contiguous and Intra-band contiguous CA	E15	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-12	C222	UE supporting E-UTRA and 5DL CA with inter-band CA, or 5DL CA with TDD Intra-band contiguous CA	E15		
							
			C223	UE supporting E-UTRA and 5DL CA with FDD-TDD	E15		
7.3E	Reference sensitivity level for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0)	D01	FDD, HD-FDD, TDD	
							
							
7.3EA	Reference sensitivity level for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
7.3EB	Reference sensitivity level for UE category 1bis	Rel-14	C112c	UE supporting E-UTRA and UE category 1bis	D01		FDD, HD-FDD, TDD
7.3B	Reference sensitivity level for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
7.3F.1	Reference sensitivity level without repetitions for category NB1	Rel-13	C112b	UE supporting category NB1	D11	HD-FDD	
7.3F.2	Reference sensitivity level with repetitions for category NB1	Rel-13	C112b	UE supporting category NB1	D11	HD-FDD	
7.4	Maximum input level	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
7.4_1	Maximum input level with 4 Rx antenna ports	Rel-10	C168	UE supporting E-UTRA with 4Rx antenna ports but not 256QAM in DL	D09	FDD, TDD	
							
7.4_H	7.4_H Maximum input level for 256QAM in DL	Rel-12	C113h	UE supporting E-UTRA and 256QAM in DL	D01	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.4A.1	Maximum input level for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.4A.1_H	Maximum input level for CA (intra-band contiguous DL CA and UL CA) for 256QAM in DL	Rel-12	C19h	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA and 256QAM in DL	E01	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.4A.2	Maximum input level for CA (intra-band contiguous DL CA without UL CA)	Rel-10	C20	UE supporting E-UTRA and intra-band contiguous DL CA	E08	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.4A.2_H	Maximum input level for CA (intra-band contiguous DL CA without UL CA) for 256QAM in DL	Rel-12	C20h	UE supporting E-UTRA and intra-band contiguous DL CA and 256QAM in DL	E08	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.4A.3	Maximum input level for CA (inter-band DL CA without UL CA)	Rel-10	C21	UE supporting E-UTRA and inter-band DL CA	E10	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-12	C146	UE supporting E-UTRA and 2DL CA with FDD-TDD inter-band CA			
		Rel-13	C207	UE supporting E-UTRA and 2DL CA with FDD-TDD inter-band CA under FS3			
		Rel-13	C208	UE supporting E-UTRA and 2DL CA with TDD-TDD inter-band CA under FS3			
7.4A.3_H	Maximum input level for CA (inter-band DL CA without UL CA) for 256QAM in DL	Rel-12	C21h	UE supporting E-UTRA and inter-band DL CA and 256QAM in DL	E10	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.4A.4	Maximum input level for CA (intra band non-contiguous DL CA without UL CA)	Rel-11	C43	UE supporting E-UTRA and intra-band non-contiguous DL CA but no UL CA	E09	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.4A.4_H	Maximum input level for CA (intra band non-contiguous DL CA without UL CA) for 256QAM in DL	Rel-12	C43h	UE supporting E-UTRA and intra-band non-contiguous DL CA but no UL CA and 256QAM in DL	E09	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.4A.5	Maximum input level for 3DL CA	Rel-10	C121	UE supporting E-UTRA and 3DL with intra-band contiguous CA or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA	E07	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-11	C122	UE supporting E-UTRA and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA	E07		
							
		Rel-12	C123	UE supporting E-UTRA and 3DL CA with FDD-TDD CA	E07		
		Rel-13	C268	UE supporting E-UTRA and 3DL CA with FDD-TDD CA under FS3	E07		
		Rel-13	C269	UE supporting E-UTRA and 3DL CA with TDD-TDD CA under FS3	E07		
7.4A.5_H	Maximum input level for 3DL CA for 256QAM in DL	Rel-12	C122h	UE supporting E-UTRA and 3DL CA and 256QAM in DL	E07	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
		Rel-13	C268	UE supporting E-UTRA and 3DL CA with FDD-TDD CA under FS3	E07		
		Rel-13	C269	UE supporting E-UTRA and 3DL CA with TDD-TDD CA under FS3	E07		
7.4A.7	Maximum input level for 4DL CA	Rel-11	C187	UE supporting E-UTRA and 4DL with TDD Intra-band contiguous CA, or 4DL with Inter-band CA, or 4DL with Intra-band contiguous and Inter-band CA.	E14	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-11	C211	UE supporting E-UTRA and 4DL with Intra-band non-contiguous and Inter-band CA, or 4DL with Intra-band non-contiguous and Intra-band contiguous CA or 4DL with Intra-band non-contiguous and Intra-band non-contiguous CA	E14		
							
		Rel-12	C188	UE supporting E-UTRA and 4DL CA with FDD-TDD CA	E14		
7.4A.8	Maximum input level for 5DL CA	Rel-11	C221	UE supporting E-UTRA and 5DL with Intra-band non-contiguous CA or 5DL with Intra-band non-contiguous and Inter-band CA or 5DL with Intra-band contiguous and Inter-band CA or 5DL with Intra-band non-contiguous and Intra-band contiguous CA, or 5DL with Intra-band non-contiguous and Intra-band non-contiguous CA, or 5DL with Intra-band contiguous and Intra-band contiguous CA	E15	FDD 2Rx, FDD 4Rx, TDD 2Rx, TDD 4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
		Rel-12	C222	UE supporting E-UTRA and 5DL CA with inter-band CA, or 5DL CA with TDD Intra-band contiguous CA			
		Rel-12	C223	UE supporting E-UTRA and 5DL CA with FDD-TDD CA			
7.4B	Maximum input level for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
7.4D.1	Maximum input level for ProSe Direct Discovery	Rel-12	C163	UE supporting E-UTRA and ProSe direct discovery	D10	FDD, TDD	
							
7.4D.2	Maximum input level for ProSe Direct Communication	Rel-12	C162	UE supporting E-UTRA and ProSe direct communication	D10	FDD, TDD	
							
7.4E	Maximum input level for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0)	D01	FDD, HD-FDD, TDD	
							
							
7.4EA	Maximum input level for UE category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
7.4F	Maximum input level for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
7.5	Adjacent Channel Selectivity (ACS)	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
7.5_1	Adjacent Channel Selectivity (ACS) with 4 Rx antenna ports	Rel-10	C113a	UE supporting E-UTRA with 4Rx antenna ports	D09	FDD, TDD	
							
7.5A.1	Adjacent Channel Selectivity (ACS) for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.5A.2	Adjacent Channel Selectivity (ACS) for CA (intra-band contiguous DL CA without UL CA)	Rel-10	C20	UE supporting E-UTRA and intra-band contiguous DL CA	E11	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.5A.3	Adjacent Channel Selectivity (ACS) for CA (inter-band DL CA without UL CA)	Rel-10	C21	UE supporting E-UTRA and inter-band DL CA	E12	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-12	C146	UE supporting E-UTRA and 2DL CA with FDD-TDD inter-band CA			
		Rel-13	C207	UE supporting E-UTRA and 2DL CA with FDD-TDD inter-band CA under FS3			
		Rel-13	C208	UE supporting E-UTRA and 2DL CA with TDD-TDD inter-band CA under FS3			
7.5A.4	Adjacent Channel Selectivity (ACS) for CA (intra band non-contiguous DL CA without UL CA)	Rel-11	C43	UE supporting E-UTRA and intra-band non-contiguous DL CA but no UL CA	E09	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.5A.5	Adjacent Channel Selectivity (ACS) for 3DL CA	Rel-10	C121	UE supporting E-UTRA and 3DL with intra-band contiguous CA or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA	E07	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-11	C122	UE supporting E-UTRA and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA	E07		
							
		Rel-12	C123	UE supporting E-UTRA and 3DL CA with FDD-TDD CA	E07		
		Rel-13	C268	UE supporting E-UTRA and 3DL CA with FDD-TDD CA under FS3	E07		
		Rel-13	C269	UE supporting E-UTRA and 3DL CA with TDD-TDD CA under FS3	E07		
7.5A.7	Adjacent Channel Selectivity (ACS) for 4DL CA	Rel-11	C187	UE supporting E-UTRA and 4DL with TDD Intra-band contiguous CA, or 4DL with Inter-band CA, or 4DL with Intra-band contiguous and Inter-band CA.	E14	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-11	C211	UE supporting E-UTRA and 4DL with Intra-band non-contiguous and Inter-band CA, or 4DL with Intra-band non-contiguous and Intra-band contiguous CA or 4DL with Intra-band non-contiguous and Intra-band non-contiguous CA	E14		
							
		Rel-12	C188	UE supporting E-UTRA and 4DL CA with FDD-TDD CA	E14		
7.5A.8	Adjacent Channel Selectivity (ACS) for 5DL CA	Rel-11	C221	UE supporting E-UTRA and 5DL with Intra-band non-contiguous CA or 5DL with Intra-band non-contiguous and Inter-band CA or 5DL with Intra-band contiguous and Inter-band CA or 5DL with Intra-band non-contiguous and Intra-band contiguous CA, or 5DL with Intra-band non-contiguous and Intra-band non-contiguous CA, or 5DL with Intra-band contiguous and Intra-band contiguous CA	E15	FDD 2Rx, FDD 4Rx, TDD 2Rx, TDD 4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
		Rel-12	C222	UE supporting E-UTRA and 5DL CA with inter-band CA, or 5DL CA with TDD Intra-band contiguous CA			
		Rel-12	C223	UE supporting E-UTRA and 5DL CA with FDD-TDD CA			
7.5B	Adjacent Channel Selectivity (ACS)for UL-MIMO	Rel-10	C07	UE supporting E-UTRA and UL_MIMO	D05	FDD, TDD	
							
7.5D.1	Adjacent Channel Selectivity (ACS) for ProSe Direct Discovery	Rel-12	C163	UE supporting E-UTRA and ProSe direct discovery	D10	FDD, TDD	
							
7.5D.2	Adjacent Channel Selectivity (ACS) for ProSe Direct Communication	Rel-12	C162	UE supporting E-UTRA and ProSe direct communication	D10	FDD, TDD	
							
7.5E	Adjacent Channel Selectivity (ACS) for UE category 0	Rel-12	C112	UE supporting E-UTRA (UE category 0)	D01	FDD, HD-FDD, TDD	
							
							
7.5EA	Adjacent Channel Selectivity (ACS) for category M1	Rel-13	C112a	UE supporting E-UTRA and UE category M1	D01	FDD, HD-FDD, TDD	
							
							
7.5F	Adjacent Channel Selectivity (ACS) for category NB1	Rel-13	C112b	UE supporting category NB1	D12, D13	HD-FDD	
7.6.1	In-band blocking	Rel-8	C113	UE supporting E-UTRA	D01	FDD, TDD	
							
7.6.1_1	In-band blocking with 4 Rx antenna ports	Rel-10	C113a	UE supporting E-UTRA with 4Rx antenna ports	D09	FDD, TDD	
							
7.6.1A.1	In-band blocking for CA (intra-band contiguous DL CA and UL CA)	Rel-10	C19	UE supporting E-UTRA and intra-band contiguous DL CA and UL CA	E01	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.6.1A.2	In-band blocking for CA (intra-band contiguous DL CA without UL CA)	Rel-10	C20	UE supporting E-UTRA and intra-band contiguous DL CA	E11	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.6.1A.3	In-band blocking for CA (inter-band DL CA without UL CA)	Rel-10	C21	UE supporting E-UTRA and inter-band DL CA	E12	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-12	C146	UE supporting E-UTRA and 2DL CA with FDD-TDD inter-band CA			
		Rel-13	C207	UE supporting E-UTRA and 2DL CA with FDD-TDD inter-band CA under FS3	E12		
		Rel-13	C208	UE supporting E-UTRA and 2DL CA with TDD-TDD inter-band CA under FS3			
7.6.1A.4	In-band blocking for CA (intra-band non-contiguous DL CA without UL CA)	Rel-11	C43	UE supporting E-UTRA and intra-band non-contiguous DL CA but no UL CA	E09	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx	
							
7.6.1A.5	In-band blocking for 3DL CA	Rel-10	C121	UE supporting E-UTRA and 3DL with intra-band contiguous CA or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA	E07	FDD_2Rx, FDD_4Rx, TDD_2Rx, TDD_4Rx, FDD-TDD_2Rx, FDD-TDD_4Rx	
							
		Rel-11	C122	UE supporting E-UTRA and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA	E07		
							
		Rel-12	C123	UE supporting E-UTRA and 3DL CA with FDD-TDD CA	E07		
		Rel-13	C268	UE supporting E-UTRA and 3DL CA with FDD-TDD CA under FS3	E07		
		Rel-13	C269	UE supporting E-UTRA and 3DL CA with TDD-TDD CA under FS3	E07		
