Clause	Title	Release	Applicability	Comments	Number of TC Executions (informative)	Release RAT
7.2.4.2	MTCH duplicate avoidance and reordering / MBMS Broadcast Service	Rel-6	C480	UEs supporting PS domain services and MBMS broadcast services.	1 Execution: PS	
7.2.4.2a	MTCH duplicate avoidance and reordering / MBSFN (FDD)	Rel-7	C642	UEs supporting MBSFN FDD	1 Execution: PS	
7.2.4.2m	MTCH duplicate avoidance and reordering / MBMS Multicast Service	Rel-6	C542	UEs supporting PS domain services and MBMS multicast services.	1 Execution: PS	
7.2.4.3	MCCH Out Of Sequence Delivery handling / MBMS Broadcast Service	Rel-6	C480	UEs supporting PS domain services and MBMS broadcast services.	1 Execution: PS	
7.2.4.3a	MCCH Out Of Sequence Delivery handling / MBSFN (FDD)	Rel-7	C642	UEs supporting MBSFN FDD	1 Execution: PS	
7.2.4.3m	MCCH Out Of Sequence Delivery handling / MBMS Multicast Service	Rel-6	C542	UEs supporting PS domain services and MBMS multicast services.	1 Execution: PS	
7.2.5.1	RLC Timer_Reordering with Inter-Node B Multiflow operation	Rel-11	C914	UEs supporting FDD and Multiflow HSDPA operation	1 Execution: PS	
7.2.5.2	Expiry of RLC Timer_Reordering with Inter-Node B Multiflow operation	Rel-11	C914	UEs supporting FDD and Multiflow HSDPA operation	1 Execution: PS	
7.2.5.4	Erroneous Sequence Number Processing with Inter Node B Multiflow operation	Rel-11	C914	UEs supporting FDD and Multiflow HSDPA and Single Band – Single Frequency and Dual Cell combination (SB-SF-DC)	1 Execution: PS	
7.2.5.5	Void					
7.3.2.1.1	IP Header Compression and PID assignment / UE in RLC AM / Transmission of uncompressed Header	R99	C12	UE supporting PS		
7.3.2.1.2	IP Header Compression and PID assignment / UE in RLC AM / Transmission of compressed Header	R99	C213	UE supporting PS and IP Header Compression protocol IETF RFC 2507		
7.3.2.2.1	IP Header Compression and PID assignment / UE in RLC UM / Transmission of uncompressed Header	R99	C12	UE supporting PS		
7.3.2.2.2	IP Header Compression and PID assignment / UE in RLC UM / Transmission of compressed Header	R99	C213	UE supporting PS and IP Header Compression protocol IETF RFC 2507		
7.3.2.2.3	IP Header Compression and PID assignment / UE in RLC UM / Extension of used compression methods	R99	C213	UE supporting PS and IP Header Compression protocol IETF RFC 2507		
7.3.2.2.4	IP Header Compression and PID assignment / UE in RLC UM / Compression type used for different entities	R99	C214	UE supporting PS, IP Header Compression protocol IETF RFC 2507 and establishment of more than one PDCP entities supporting two radio bearer RLC AM and RLC UM as defined in this test case		
7.3.2.2.5	IP Header Compression and PID assignment / UE in RLC UM / Reception of not defined PID values	R99	C213	UE supporting PS and IP Header Compression protocol IETF RFC 2507		
7.3.3.1	PDCP sequence numbering when lossless SRNS Relocation / Data transmission if lossless SRNS Relocation is supported	R99	C215	UE supporting PS, IP Header Compression protocol IETF RFC 2507 and lossless SRNS relocation		
7.3.3.2	PDCP sequence numbering when lossless SRNS Relocation / Synchronisation of PDCP sequence numbers	R99	C215	UE supporting PS, IP Header Compression protocol IETF RFC 2507 and lossless SRNS relocation		
7.3.3.5	UTRAN MOBILITY INFORMATION: Lossless SRNS relocation in CELL_FACH (without pending of ciphering)	R99	C389	UE supporting PS and lossless SRNS relocation		
7.3.3.6	Cell Update: Lossless SRNS relocation in CELL_FACH (without pending of ciphering)	R99	C389	UE supporting PS and lossless SRNS relocation		
7.3.3.7	URA Update: Lossless SRNS relocation in CELL_FACH (without pending of ciphering)	R99	C389	UE supporting PS and lossless SRNS relocation		
7.3.3.8	Radio Bearer Establishment for transition from CELL_DCH to CELL_DCH: Success (Lossless SRNS relocation) (without pending of ciphering)	R99	C389	UE supporting PS and lossless SRNS relocation		
7.3.3.9	Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH: Success (Lossless SRNS relocation) (without pending of ciphering)	R99	C389	UE supporting PS and lossless SRNS relocation		
7.3.3.10	Radio Bearer Release for transition from CELL_DCH to CELL_DCH: Success (Lossless SRNS relocation) (without pending of ciphering)	R99	C389	UE supporting PS and lossless SRNS relocation		
7.3.3.11	Transport Channel Reconfiguration for transition from CELL_DCH to CELL_DCH: Success (Lossless SRNS relocation) (without pending of ciphering)	R99	C389	UE supporting PS and lossless SRNS relocation		
7.3.5.3.2	UDP/IPv6 or ESP/IPv6 or IPv6 Unacknowledged - Normal U-mode Transmission (without ack)	Rel-4	C382	UE supporting PS and IP Header Compression protocol IETF RFC 3095		
7.3.6.2	Base test of ROHC RTP O-mode compressor 	Rel-5	C558	UE supporting PS or IMS and RFC 3095  Note: For Rel-5 PS or IMS UEs RoHC support is optional. For Rel-6 PS UEs RoHC support is optional. For Rel-6 or later UEs supporting IMS RoHC support is mandatory.		
7.3.6.3	Base test of ROHC RTP R-mode compressor 	Rel-5	C558	UE supporting PS or IMS and RFC 3095  Note: For Rel-5 PS or IMS UEs RoHC support is optional. For Rel-6 PS UEs RoHC support is optional. For Rel-6 or later UEs supporting IMS RoHC support is mandatory.		
7.3.6.4	Re-establishment of TS function after DTX in O-mode	Rel-5	C558	UE supporting PS or IMS and RFC 3095  Note: For Rel-5 PS or IMS UEs RoHC support is optional. For Rel-6 PS UEs RoHC support is optional. For Rel-6 or later UEs supporting IMS RoHC support is mandatory.		
7.3.6.5	Re-establishment of TS function after DTX in R-mode	Rel-5	C558	UE supporting PS or IMS and RFC 3095  Note: For Rel-5 PS or IMS UEs RoHC support is optional. For Rel-6 PS UEs RoHC support is optional. For Rel-6 or later UEs supporting IMS RoHC support is mandatory.		
7.3.6.6	Compressor response to single lost packets in O-mode	Rel-5	C558	UE supporting PS or IMS and RFC 3095  Note: For Rel-5 PS or IMS UEs RoHC support is optional. For Rel-6 PS UEs RoHC support is optional. For Rel-6 or later UEs supporting IMS RoHC support is mandatory.		
7.3.6.7	Compressor response to single lost packets in R-mode	Rel-5	C558	UE supporting PS or IMS and RFC 3095  Note: For Rel-5 PS or IMS UEs RoHC support is optional. For Rel-6 PS UEs RoHC support is optional. For Rel-6 or later UEs supporting IMS RoHC support is mandatory.		
7.3.6.8	TS function during DTX with varying delta in O-mode	Rel-5	C558	UE supporting PS or IMS and RFC 3095  Note: For Rel-5 PS or IMS UEs RoHC support is optional. For Rel-6 PS UEs RoHC support is optional. For Rel-6 or later UEs supporting IMS RoHC support is mandatory.		
7.3.6.9	TS function during DTX with varying delta in R-mode	Rel-5	C558	UE supporting PS or IMS and RFC 3095  Note: For Rel-5 PS or IMS UEs RoHC support is optional. For Rel-6 PS UEs RoHC support is optional. For Rel-6 or later UEs supporting IMS RoHC support is mandatory.		
7.3.6.10	SRNS relocation for ROHC RTP O-mode compressor	Rel-5	C559	UE supporting PS or IMS, RFC 3095 and RFC 3095 context relocation  Note: For Rel-5 PS or IMS UEs RoHC support is optional. For Rel-6 PS UEs RoHC support is optional. For Rel-6 or later UEs supporting IMS RoHC support is mandatory.		
7.3.7.1	PDCP AMR Data PDU testing	Rel-7	C592	UE supporting FDD and CS Voice over HSPA.  Note: CS Voice over HSPA is an optional Rel-8 feature that may be implemented in Rel-7 UEs.	1 Execution: CS	
7.3.7.2	PDCP Unrecoverable Error Detection	Rel-7	C592	UE supporting FDD and CS Voice over HSPA.  Note: CS Voice over HSPA is an optional Rel-8 feature that may be implemented in Rel-7 UEs.	1 Execution: CS	
7.4.2.1	General BMC message reception / UE in Idle mode	R99	C216	UE supporting PS, BMC and CBS		
7.4.2.2	General BMC message reception / UE in RRC connected mode, state CELL_PCH	R99	C216	UE supporting PS, BMC and CBS		
7.4.2.3	General BMC message reception / UE in RRC connected mode, state URA_PCH	R99	C216	UE supporting PS, BMC and CBS		
7.4.2.4	General BMC message reception / UE in Idle mode (ANSI-41 CB data)	R99	C217	UE supporting PS, BMC and ANSI-41 CB data		
7.4.2.5	General BMC message reception / UE in RRC connected mode, state CELL_PCH (ANSI-41 CB data)	R99	C217	UE supporting PS, BMC and ANSI-41 CB data		
7.4.2.6	General BMC message reception / UE in RRC connected mode, state URA_PCH (ANSI-41 CB data)	R99	C217	UE supporting PS, BMC and ANSI-41 CB data		
7.4.3.1	Reception of certain CBS message types	R99	C218	UE supporting PS, BMC, CBS and BMC DRX Scheduling		
8	RADIO RESOURCE CONTROL					
8.1.1.1	RRC / Paging for Connection in idle mode	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.1.2	RRC / Paging for Connection in connected mode (CELL_PCH)	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.1.1.3	RRC / Paging for Connection in connected mode (URA_PCH)	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.1.1.4	RRC / Paging for notification of BCCH modification in idle mode	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.1.5	RRC / Paging for notification of BCCH modification in connected mode (CELL_PCH)	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.1.1.5a	Paging on HS-DSCH for notification of BCCH modification in CELL_PCH	Rel-7	C616	UEs supporting FDD and HS-PDSCH in CELL_PCH and URA_PCH	1 Execution: PS	
8.1.1.6	RRC / Paging for notification of BCCH modification in connected mode (URA_PCH)	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.1.1.6a	RRC / Paging for notification of synchronised BCCH modification in idle mode using BCCH modification time	Rel-5	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.1.7	RRC / Paging for Connection in connected mode (CELL_DCH)	R99	C90d	UEs supporting FDD and PS domain services and CS domain services and CS call establishment.	2 Executions: CS+PS, PS+CS	
8.1.1.8	RRC / Paging for Connection in connected mode (CELL_FACH)	R99	C90d	UEs supporting FDD and PS domain services and CS domain services and CS call establishment.	1 Execution: CS+PS	
8.1.1.9	RRC / Paging for Connection in idle mode (multiple paging records)	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.1.10	RRC / Paging for Connection in connected mode (URA_PCH, multiple paging records)	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.1.1.11	RRC / Paging for Connection in idle mode (Shared Network environment)	Rel-6	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.1.12	Paging for Connection in connected mode (CELL_PCH) without HS-SCCH	Rel-7	C616	UEs supporting FDD and HS-PDSCH in CELL_PCH and URA_PCH	1 Execution: PS	
8.1.1.13	ETWS primary and secondary notification without security reception via S-CCPCH in idle mode, URA_PCH and CELL_PCH state / CELL_FACH state	Rel-8 and Rel-9 only	C679	UE supporting FDD and ETWS and duplicate detection for ETWS in RRC	1 Execution: PS	
8.1.1.14	Void					
8.1.1.15	Void					
8.1.1.16	Void					
8.1.1.17	Void					
8.1.1.18	Void					
8.1.1.19	ETWS primary and secondary notification / Cell reselection	Rel-8 and Rel-9 only	C679	UE supporting FDD and ETWS and duplicate detection for ETWS in RRC	1 Execution: PS	
8.1.1.20	Paging / EAB active	Rel-11	C903	Support EAB configuration		
8.1.2.1	RRC / RRC Connection Establishment in CELL_DCH state: Success	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS (only if CS call establishment is supported), PS	
8.1.2.2	RRC / RRC Connection Establishment: Success after T300 timeout	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.2.3	RRC / RRC Connection Establishment: Failure (V300 is greater than N300)	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.2.4	RRC / RRC Connection Establishment: Reject (\"wait time\" is not equal to 0)	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.2.5	RRC / RRC Connection Establishment: Reject (\"wait time\" is not equal to 0 and V300 is greater than N300)	R99	C01	UEs supporting FDD.		
8.1.2.6	RRC / RRC Connection Establishment: Reject (\"wait time\" is set to 0)	R99	C01	UEs supporting FDD.		
8.1.2.7	RRC / RRC Connection Establishment in CELL_FACH state: Success	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.2.8	Void					
8.1.2.9	RRC / RRC Connection Establishment: Success after Physical channel failure and Invalid configuration	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.2.10	RRC / RRC connection establishment in CELL_DCH on another frequency	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.2.10a	RRC connection establishment in CELL_DCH on another frequency in a different frequency band	R99	C481d	UE supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service) and multiple FDD bands simultaneously.	1 or 2 Executions: CS, PS ( only if CS call establishment is supported )	
8.1.2.11	RRC Connection Establishment in FACH state (Frequency modification): Success	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.2.12	RRC Connection Establishment: Reject with interRATInfo is set to GSM	R99	C95	UEs supporting FDD and GSM and supporting speech.	1 Execution: CS	
8.1.2.13	RRC Connection Establishment: Reject with InterRATInfo is set to GSM and selection to the designated system fails	R99	C95	UEs supporting FDD and GSM and supporting speech.	1 Execution: CS	
8.1.2.14	RRC Connection Establishment using the default configuration for 3.4 kbps signalling bearers	Rel-5	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.2.15	RRC Connection Establishment using the default configuration for 13.6 kbps signalling bearers	Rel-5	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.2.16	RRC Connection Establishment / Domain Specific Access Control: Success	Rel-5	C409	UEs supporting FDD and PS domain services and CS domain services and CS call establishment and DSAC.  Note: For Rel-5 UEs DSAC support is optional. For Rel-6 or later UEs DSAC support is mandatory.	1 Execution: CS+PS	
8.1.2.17	RRC Connection Establishment for transition from Idle Mode to CELL_DCH: Success (start of E-DCH transmission)	Rel-6	C560	UEs supporting FDD and HS-PDSCH and E-DPDCH and fully supporting F-DPCH	1 Execution: PS	
8.1.2.18	RRC Connection Establishment using the default configuration for HS-DSCH / E-DCH signalling bearers	Rel-6	C560	UEs supporting FDD and HS-PDSCH and E-DPDCH and fully supporting F-DPCH	1 Execution: PS	
8.1.2.19	RRC Connection Establishment for transition from Idle Mode to CELL_DCH: Success (start of discontinuous uplink transmission and downlink reception)	Rel-7	C579	UEs supporting FDD and UL DTX	1 Execution: PS	
8.1.2.20	RRC Connection Establishment for transition from Idle Mode to CELL_FACH: Success (Start of HS-DSCH Reception)	Rel-7	C591	UEs supporting FDD and HS-PDSCH in CELL_FACH	1 Execution: PS	
8.1.2.21	RRC Connection Establishment: Reject with Frequency Info set to the same frequency band – Successful case	R99	C01d	UE supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ),PS	
8.1.2.21a	RRC Connection Establishment: Reject with Frequency Info set to a different frequency band – Successful case	R99	C481d	UE supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service) and multiple FDD bands simultaneously.	1 or 2 Executions: CS ( only if CS call establishment is supported ),PS	
8.1.2.22	RRC Connection Establishment: Reject with Frequency Info set to the same frequency band – Unsuccessful case	R99	C01d	UE supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS( only if CS call establishment is supported ),PS	
8.1.2.22a	RRC Connection Establishment: Reject with Frequency Info set to a different frequency band – Unsuccessful case	R99	C481d	UE supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service) and multiple FDD bands simultaneously.	1 or 2 Executions: CS ( only if CS call establishment is supported ),PS	
8.1.2.23	Void					
8.1.2.23a	Void					
8.1.2.24	Void					
8.1.2.24a	Void					
8.1.2.26	RRC Connection Establishment / Paging Permission with Access Control: Success	Rel-8	C90d	UEs supporting FDD and PS domain services and CS domain services and CS call establishment.	1 Execution: CS+PS	
8.1.2.27	Void					
8.1.3.1	RRC / RRC Connection Release in CELL_DCH state: Successful	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.3.2	RRC / RRC Connection Release using on DCCH in CELL_FACH state: Successful	R99	C01	UEs supporting FDD.		
8.1.3.3	RRC / RRC Connection Release using on CCCH in CELL_FACH state: Success	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.3.4	RRC / RRC Connection Release in CELL_FACH state: Failure	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.3.5	RRC / RRC Connection Release in CELL_FACH state: Invalid message	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS ( only if CS call establishment is supported ), PS	
8.1.3.6	RRC / RRC Connection Release in CELL_DCH state (Frequency modification): Success	R99	C01	UEs supporting FDD.		
8.1.3.7	RRC Connection Release in CELL_FACH state (Frequency modification): Success	R99	C01	UEs supporting FDD.		
